,biomass,gas,hydro,nuclear,other_fossil,solar,wind_offshore,wind_onshore,FR -> BE,NL -> BE,demand,BE -> FR,BE -> NL,mismatch
7801,374.07,4571.7,3.12,2006.17,1101.24,0.0,61.84,104.04,0.0,2142.33,10293.94,70.57,0.0,-2.8421709430404007e-13
7802,371.59,4586.72,4.93,2006.54,1096.64,0.0,89.92,94.92,0.0,2156.48,10274.63,133.11,0.0,5.684341886080801e-13
7803,369.92,4293.96,5.76,2006.09,1092.95,0.0,118.75,82.63,186.79,2256.27,10413.12,0.0,0.0,0.0
7804,371.71,4508.8,5.16,2006.16,1096.88,0.0,155.54,68.2,394.48,2090.35,10697.28,0.0,0.0,0.0
7805,370.47,4792.27,13.45,2006.26,1115.86,0.0,141.88,46.79,510.53,1953.08,10950.59,0.0,0.0,0.0
7806,374.49,5147.86,341.45,2004.55,1151.85,0.0,116.38,50.42,897.39,1901.94,11986.33,0.0,0.0,-1.8189894035458565e-12
7807,378.31,5180.91,567.68,2004.99,1164.27,0.18,129.05,51.84,688.21,1874.15,12039.59,0.0,0.0,0.0
7808,378.62,5184.02,310.32,2005.86,1157.11,32.85,171.62,29.28,888.22,1855.88,12013.780000000002,0.0,0.0,0.0
7809,380.71,5075.85,134.3,2004.87,1113.4,243.77,121.81,21.29,1077.02,1624.56,11797.580000000002,0.0,0.0,0.0
7810,376.83,4937.67,140.14,2004.42,1097.51,555.05,73.83,12.05,864.11,1698.17,11759.779999999999,0.0,0.0,0.0
7811,375.04,4710.35,37.01,2003.07,1081.6,824.11,68.3,10.02,618.57,1738.98,11467.05,0.0,0.0,0.0
7812,372.66,4728.94,59.3233,2003.02,1083.99,942.91,81.48,15.43,880.98,1535.71,11704.443299999999,0.0,0.0,0.0
7813,370.83,4837.97,80.3667,2004.02,1072.1,666.39,57.01,19.82,876.41,1665.22,11650.1367,0.0,0.0,0.0
7814,368.97,5077.0,102.49,2001.74,1113.55,300.95,27.03,24.77,1186.56,1567.96,11771.02,0.0,0.0,1.8189894035458565e-12
7815,368.15,5106.38,51.69,2001.75,1172.98,62.32,31.63,37.15,1733.09,1457.26,12022.399999999996,0.0,0.0,1.8189894035458565e-12
7816,370.71,5192.06,605.83,2000.55,1130.57,0.0,63.47,83.23,1393.52,1861.89,12701.83,0.0,0.0,0.0
7817,369.22,5203.89,693.32,2000.74,1153.7,0.0,105.12,134.17,931.96,2049.63,12641.750000000002,0.0,0.0,0.0
7818,372.9,5123.59,566.73,2001.14,1113.12,0.0,158.99,180.75,677.76,1980.94,12175.919999999998,0.0,0.0,0.0
7819,369.82,4889.62,303.4,2000.48,1077.21,0.0,149.52,251.97,795.43,1863.29,11700.74,0.0,0.0,-1.8189894035458565e-12
7820,373.8,4677.12,3.69,2001.13,1076.68,0.0,91.48,280.61,545.0,2017.52,11067.029999999999,0.0,0.0,1.8189894035458565e-12
7821,376.68,4674.15,3.39,2002.47,1070.88,0.0,25.39,264.41,403.93,2164.55,10985.85,0.0,0.0,0.0
7822,371.81,4637.06,3.89,2003.36,1068.55,0.0,17.55,280.84,206.43,2238.71,10828.2,0.0,0.0,0.0
7823,367.19,4714.11,3.07,2002.05,1059.21,0.0,86.22,247.31,0.0,2032.87,10325.56,186.47,0.0,-6.536993168992922e-13
7824,366.78,4861.19,1.91,2002.28,1057.37,0.0,98.49,204.46,0.0,2208.69,10514.519999999999,286.65,0.0,-3.410605131648481e-13
7825,369.64,4853.81,1.77,2001.17,1059.3,0.0,95.57,202.37,38.26,2073.31,10695.2,0.0,0.0,0.0
7826,370.76,4851.43,1.86,2001.88,1051.64,0.0,106.09,206.89,21.68,1994.46,10606.689999999999,0.0,0.0,0.0
7827,372.3,4430.2,1.97,2000.78,1048.18,0.0,89.3,221.26,416.45,2100.86,10681.300000000001,0.0,0.0,0.0
7828,371.15,4678.99,2.0,2000.98,1042.98,0.0,101.44,129.45,538.24,1971.85,10837.08,0.0,0.0,0.0
7829,372.89,4737.67,2.75,1999.38,1062.66,0.0,92.15,136.76,697.67,1941.91,11043.839999999998,0.0,0.0,1.8189894035458565e-12
7830,368.05,4841.32,186.14,1998.06,1118.88,0.0,117.9,160.38,1276.12,1890.26,11957.11,0.0,0.0,0.0
7831,373.55,4744.55,574.52,1995.1,1128.88,26.73,70.19,157.33,1346.87,1608.58,12026.300000000003,0.0,0.0,0.0
7832,374.34,4860.16,579.16,1998.66,1119.41,161.29,79.05,174.89,979.51,1746.47,12072.939999999999,0.0,0.0,0.0
7833,372.68,4600.92,147.68,1998.62,1099.81,426.95,58.76,181.75,1339.05,1619.27,11845.490000000002,0.0,0.0,0.0
7834,375.08,4449.68,93.92,1993.92,1047.54,923.31,55.62,151.08,1052.06,1710.41,11852.620000000003,0.0,0.0,0.0
7835,370.17,4567.46,81.71,1992.7,1037.54,1066.16,19.03,88.58,688.42,1591.03,11502.8,0.0,0.0,0.0
7836,370.2,4691.79,86.2633,1990.78,1070.21,920.35,29.54,64.0,919.46,1355.99,11498.583299999998,0.0,0.0,0.0
7837,355.79,4611.11,90.7667,1990.26,1109.99,610.1,65.41,53.2,1194.42,1228.44,11309.486700000001,0.0,0.0,0.0
7838,347.18,4655.2,95.4,1990.71,1105.43,217.33,60.21,64.32,1591.42,1180.41,11307.609999999999,0.0,0.0,0.0
7839,349.87,4644.86,143.21,1990.47,1156.74,22.59,111.37,105.37,2047.49,951.57,11523.54,0.0,0.0,0.0
7840,363.46,4765.11,574.99,1989.29,1137.04,0.0,197.49,179.09,1397.51,1460.33,12064.31,0.0,0.0,0.0
7841,363.32,4788.97,592.38,1990.19,1090.06,0.0,222.47,252.25,798.95,1892.86,11991.449999999999,0.0,0.0,0.0
7842,367.25,4781.61,116.37,1995.2,1069.23,0.0,254.8,269.53,681.57,1937.99,11473.55,0.0,0.0,0.0
7843,343.06,4654.26,2.24,1995.23,1042.54,0.0,253.37,317.54,312.47,1980.67,10901.380000000001,0.0,0.0,0.0
7844,318.15,4586.22,2.3,1994.7,1049.43,0.0,266.48,291.57,0.0,2008.69,10434.570000000002,82.97,0.0,-6.536993168992922e-13
7845,334.2,4577.12,2.38,1994.51,1019.38,0.0,265.95,238.86,0.0,2284.45,10618.090000000002,98.76,0.0,2.1316282072803006e-13
7846,342.9,4627.2,2.38,1994.24,1023.11,0.0,196.28,196.37,0.0,2370.06,10479.699999999999,272.84,0.0,1.7053025658242404e-13
7847,342.52,4256.26,2.44,1994.21,1038.97,0.0,160.56,144.44,0.0,2723.19,9917.98,744.61,0.0,5.684341886080801e-13
7848,335.58,3698.27,2.73,1995.01,1024.15,0.0,150.87,110.51,0.0,2826.64,9763.93,379.83,0.0,-5.684341886080802e-14
7849,319.87,3719.36,3.28,1996.25,1027.15,0.0,164.56,140.53,0.0,2281.67,9348.55,304.12,0.0,7.958078640513122e-13
7850,325.31,3581.19,3.41,1995.68,1014.87,0.0,174.56,163.94,142.28,2118.87,9520.109999999999,0.0,0.0,1.8189894035458565e-12
7851,344.7,3537.3,3.4,1997.29,1005.86,0.0,240.65,180.01,254.82,2205.45,9769.48,0.0,0.0,0.0
7852,349.5,3743.52,3.39,1997.78,978.87,0.0,329.31,172.76,110.27,2180.62,9866.02,0.0,0.0,0.0
7853,360.58,3811.31,3.63,1996.69,1007.82,0.0,497.99,119.1,0.0,2103.97,9360.870000000003,540.22,0.0,-2.5011104298755527e-12
7854,363.76,3887.43,4.22,1997.42,1017.62,0.0,436.44,90.97,157.1,2063.87,10018.83,0.0,0.0,0.0
7855,358.36,4283.07,5.35,1996.57,1032.36,5.43,348.61,86.94,216.58,1773.2,10106.47,0.0,0.0,0.0
7856,359.2,4459.72,16.24,1996.07,1042.09,62.91,260.73,76.09,943.36,1546.43,10762.84,0.0,0.0,0.0
7857,363.37,4389.14,19.01,1996.2,1066.62,165.97,270.7,46.66,939.38,1738.22,10995.27,0.0,0.0,0.0
7858,362.74,4374.96,61.4933,1997.22,1059.4,231.47,286.62,42.04,1065.81,1758.3,11240.0533,0.0,0.0,0.0
7859,360.39,4448.17,103.9767,1996.94,1033.77,261.24,178.46,56.99,1056.81,1773.87,11270.6167,0.0,0.0,0.0
7860,359.04,4487.0,146.49,1996.5,1073.45,187.61,87.0,45.5,1183.53,1360.72,10926.84,0.0,0.0,0.0
7861,363.65,4457.4,8.18,1996.13,1094.98,105.04,81.06,45.54,1272.52,1268.45,10692.95,0.0,0.0,0.0
7862,366.57,4424.75,79.435,1995.52,1098.97,42.11,75.48,45.57,1458.21,1180.93,10767.544999999998,0.0,0.0,0.0
7863,366.99,4481.75,151.25,1995.23,1095.08,4.94,29.35,42.06,1826.63,824.74,10818.02,0.0,0.0,0.0
7864,374.27,4462.96,250.15,1995.41,1098.2,0.0,28.29,73.92,1281.67,1729.05,11293.919999999996,0.0,0.0,1.8189894035458565e-12
7865,371.73,4426.03,515.6,1994.74,1066.2,0.0,44.13,88.37,799.81,1978.11,11284.720000000001,0.0,0.0,0.0
7866,368.81,4442.48,557.45,1994.43,996.43,0.0,70.82,86.93,258.33,2055.26,10830.94,0.0,0.0,0.0
7867,371.4,4473.61,117.99,1994.11,986.63,0.0,73.42,128.78,4.68,2210.91,10361.529999999999,0.0,0.0,0.0
7868,372.64,4448.15,5.34,1994.07,984.18,0.0,56.96,131.94,0.0,2335.76,9963.029999999999,366.01,0.0,2.0463630789890885e-12
7869,365.86,4399.62,5.44,1995.13,991.62,0.0,102.41,74.63,0.0,2606.34,9958.95,582.1,0.0,-1.4779288903810084e-12
7870,364.13,4281.31,5.65,1995.75,988.92,0.0,99.61,73.79,0.0,2955.34,9931.900000000001,832.6,0.0,-1.4779288903810084e-12
7871,365.86,4214.73,5.69,1995.02,944.54,0.0,78.3,52.76,0.0,2470.15,9476.39,650.66,0.0,-1.1368683772161603e-13
7872,368.39,3649.51,6.22,1994.02,949.72,0.0,77.92,41.88,0.0,2266.17,9024.68,329.15,0.0,-3.410605131648481e-13
7873,353.87,3463.32,6.61,1995.44,911.02,0.0,94.34,49.18,0.0,2328.0,9022.210000000001,179.57,0.0,-2.8421709430404007e-13
7874,264.96,3378.3,8.85,1995.76,892.27,0.0,89.1,57.84,178.93,1819.17,8685.18,0.0,0.0,0.0
