,biomass,gas,hydro,lignite,nuclear,other_fossil,solar,wind_onshore,AT -> SI,IT -> SI,demand,SI -> AT,SI -> IT,mismatch
1736,9.39,56.78,877.95,771.08,695.24,11.06,88.47,0.25,0.0,0.0,1247.5499999999997,104.62,1158.05,0.0
1737,9.36,55.83,838.53,791.41,695.21,10.9,116.27,0.17,0.0,0.0,1256.3300000000004,150.74,1110.61,0.0
1738,9.4,52.97,875.42,802.63,695.47,10.75,109.95,0.22,0.0,0.0,1287.35,224.88,1044.58,0.0
1739,9.44,56.84,923.68,629.03,695.38,9.56,128.41,0.25,0.0,0.0,1290.4699999999998,258.34000000000003,903.78,0.0
1740,9.56,54.61,979.77,622.07,695.39,9.35,101.34,0.29,0.0,0.0,1106.5100000000002,226.39,1139.48,0.0
1741,9.56,63.5,869.24,767.0,695.45,11.56,65.36,0.21,0.0,0.0,905.52,217.86,1358.5,0.0
1742,9.56,63.85,878.98,811.22,695.76,11.19,29.77,0.13,0.0,0.0,842.52,329.94,1328.0,0.0
1743,9.56,61.83,920.12,816.21,695.62,10.89,15.6,0.13,0.0,0.0,888.3699999999999,335.57,1306.02,2.2737367544323206e-13
1744,9.41,62.47,896.96,816.12,695.87,10.85,3.76,0.12,0.0,0.0,1047.8399999999997,172.99,1274.73,2.2737367544323206e-13
1745,9.59,65.93,878.53,806.29,695.75,11.58,0.11,0.02,59.16,0.0,1486.1999999999998,0.0,1040.76,2.2737367544323206e-13
1746,9.56,59.51,892.88,806.78,695.56,11.39,0.06,0.43,161.33,0.0,1552.0299999999993,0.0,1085.47,2.2737367544323206e-13
1747,9.53,56.36,862.61,783.63,695.72,11.37,0.06,0.38,0.0,0.0,1326.0100000000007,43.35999999999999,1050.29,-2.2737367544323206e-13
1748,9.53,55.35,866.21,748.52,695.64,13.36,0.06,0.32,0.0,0.0,1078.5500000000002,237.15,1073.29,0.0
1749,9.49,55.66,767.4,708.42,695.93,9.62,0.06,0.25,0.0,0.0,842.7499999999995,243.1,1160.98,0.0
1750,9.53,61.56,650.4,611.59,696.0,12.87,0.06,0.32,0.0,0.0,435.0299999999996,291.85,1315.45,0.0
1751,10.4,38.74,673.15,511.32,696.01,11.77,0.06,0.49,0.0,0.0,324.31999999999994,601.71,1015.91,0.0
1752,10.42,37.82,637.02,488.1,695.97,11.37,0.06,0.15,0.0,0.0,189.18999999999983,769.03,922.69,2.2737367544323206e-13
1753,10.44,35.34,625.63,493.56,695.94,11.02,0.06,0.45,0.0,0.0,119.63999999999987,813.22,939.58,0.0
1754,10.42,51.58,528.47,498.91,696.09,11.33,0.06,0.29,0.0,0.0,76.17000000000007,769.05,951.93,0.0
1755,10.41,46.36,525.67,498.67,695.98,10.98,0.06,0.24,0.0,0.0,144.73000000000002,747.77,895.87,0.0
1756,10.47,51.89,605.93,509.64,695.64,12.27,0.06,0.27,0.0,0.0,343.36999999999944,678.38,864.42,2.2737367544323206e-13
1757,10.47,55.23,621.33,580.34,695.35,9.67,2.05,0.19,0.0,0.0,711.6700000000003,533.67,729.29,0.0
1758,10.42,52.89,846.71,719.84,695.12,10.28,19.25,0.21,0.0,0.0,1156.7600000000002,310.61,887.35,0.0
1759,10.27,54.6,859.19,739.24,694.97,10.43,50.0,0.13,0.0,0.0,1308.15,77.3,1033.38,2.2737367544323206e-13
1760,10.28,54.65,816.81,592.06,694.86,9.6,84.12,0.2,0.0,0.0,1240.7199999999993,48.95,972.91,1.1368683772161603e-13
1761,10.26,54.06,790.6,492.02,694.79,10.02,103.7,0.17,0.0,0.0,1247.7799999999997,89.5,818.34,1.1368683772161603e-13
1762,10.29,52.93,801.13,434.57,695.21,10.33,107.37,0.16,0.0,0.0,1273.4399999999996,2.85,835.7,1.1368683772161603e-13
1763,10.34,55.26,813.62,456.72,695.21,8.84,102.68,0.21,0.0,0.0,1298.6100000000001,23.85,820.42,0.0
1764,10.42,54.49,794.87,474.22,695.16,8.51,75.34,0.28,0.0,0.0,1167.0900000000001,31.4,914.8,-1.1368683772161603e-13
1765,10.42,61.31,797.18,471.35,695.21,10.69,45.48,0.18,0.0,0.0,951.9899999999998,16.950000000000003,1122.88,-2.2737367544323206e-13
1766,10.42,60.48,781.08,509.0,695.37,10.51,22.85,0.35,0.0,0.0,768.7999999999997,22.6,1298.66,2.2737367544323206e-13
1767,10.42,59.89,797.08,653.52,695.49,10.1,10.71,0.19,0.0,0.0,874.0700000000002,282.92,1080.41,-2.2737367544323206e-13
1768,10.29,61.62,951.99,720.56,695.69,10.5,2.11,0.15,0.0,0.0,1055.9,379.52,1017.49,2.2737367544323206e-13
1769,10.52,65.28,856.46,716.01,695.35,10.76,0.06,0.09,0.0,0.0,1330.19,121.87,902.47,0.0
1770,10.48,59.56,857.47,710.2,695.93,10.12,0.06,0.43,0.0,0.0,1417.8499999999995,90.89,835.51,1.1368683772161603e-13
1771,10.48,56.8,721.97,599.11,695.83,10.56,0.06,0.23,0.0,0.0,1055.38,58.88,980.78,-2.2737367544323206e-13
1772,10.45,55.92,670.52,494.08,695.85,12.64,0.06,0.23,0.0,0.0,776.6700000000003,144.97,1018.11,0.0
1773,10.41,55.84,705.94,226.83,696.16,9.34,0.06,0.26,0.0,0.0,676.3699999999997,162.51999999999998,865.95,2.2737367544323206e-13
1774,10.41,61.56,540.33,218.34,696.12,12.12,0.06,0.3,0.0,0.0,354.3099999999997,170.44,1014.49,2.2737367544323206e-13
1775,9.59,39.18,509.7,214.16,696.04,12.45,0.06,0.76,0.0,0.0,347.8499999999999,494.24,639.85,0.0
1776,8.99,35.16,513.84,217.11,695.97,11.84,0.06,0.58,0.0,0.0,40.62000000000012,506.13,936.8,0.0
1777,8.92,35.12,477.57,246.36,696.1,11.49,0.06,0.17,0.0,0.0,-63.519999999999754,575.38,963.93,0.0
1778,9.02,50.69,489.73,252.26,696.01,11.83,0.06,0.34,0.0,0.0,-46.5700000000004,547.1,1009.41,2.2737367544323206e-13
1779,9.03,47.21,519.41,227.69,695.93,11.42,0.06,0.28,0.0,0.0,0.6399999999996453,459.67,1050.72,2.2737367544323206e-13
1780,9.63,51.33,614.82,227.88,695.69,11.48,0.06,0.22,0.0,0.0,190.01999999999998,512.28,908.81,2.2737367544323206e-13
1781,9.63,55.23,744.91,268.63,695.51,10.16,0.2,0.14,0.0,0.0,769.8100000000004,221.41,793.19,-1.1368683772161603e-13
