,biomass,gas,hydro,other_fossil,solar,wind_onshore,LV -> LT,PL -> LT,SE -> LT,demand,LT -> LV,LT -> PL,LT -> SE,mismatch
180,52.56,47.8,168.27,38.45,5.42,181.99,995.5,0.0,29.2,1032.23,0.0,486.96,0.0,5.684341886080802e-14
181,52.28,47.81,181.73,37.39,0.11,138.76,958.5,0.0,102.0,1031.62,0.0,486.96,0.0,5.684341886080802e-14
182,52.43,47.81,159.2,37.46,0.0,117.14,925.0,0.0,201.5,1053.5299999999997,0.0,487.01,0.0,2.2737367544323206e-13
183,52.66,47.78,536.07,38.21,0.0,131.28,921.5,0.0,0.0,1117.5100000000002,0.0,486.99,123.0,-2.2737367544323206e-13
184,52.7,47.96,536.35,37.8,0.0,93.95,987.5,0.0,0.0,1096.07,0.0,486.99,173.2,0.0
185,52.9,48.09,171.1,37.36,0.0,64.8,997.5,0.0,145.1,1029.92,0.0,486.93,0.0,-1.7053025658242404e-13
186,52.95,48.1,105.45,37.54,0.0,96.87,1021.5,0.0,102.8,978.27,0.0,486.94,0.0,5.684341886080802e-14
187,53.0,48.15,96.51,38.98,0.0,146.68,958.5,0.0,110.7,965.4900000000002,0.0,487.03,0.0,-2.2737367544323206e-13
188,52.73,48.16,33.23,39.81,0.0,191.26,960.5,0.0,0.0,824.7200000000001,0.0,486.97,14.0,-1.1368683772161603e-13
189,52.27,48.1,33.03,38.09,0.0,243.84,1016.5,0.0,121.7,1066.88,0.0,486.65,0.0,1.1368683772161603e-13
190,52.02,48.11,46.86,38.77,0.0,286.07,970.0,0.0,6.9,1049.24,0.0,399.49,0.0,0.0
191,52.04,48.11,33.11,39.44,0.0,272.38,840.0,0.0,6.5,913.21,0.0,378.37,0.0,-1.1368683772161603e-13
192,52.12,47.88,32.88,38.58,0.0,236.94,815.5,0.0,0.0,1213.34,0.0,6.76,3.8,1.7408297026122455e-13
193,51.62,47.42,32.88,39.06,0.0,186.87,900.0,0.0,0.5,1258.35,0.0,0.0,0.0,0.0
194,51.72,47.26,32.88,39.54,0.0,142.36,863.5,0.0,13.6,1190.8600000000001,0.0,0.0,0.0,0.0
195,51.85,47.34,32.89,39.25,0.0,126.4,847.0,0.0,0.0,1034.63,0.0,0.0,110.1,-8.526512829121202e-14
196,52.3,47.32,33.04,39.21,0.0,98.18,791.0,3.77,354.4,1419.22,0.0,0.0,0.0,0.0
197,52.34,47.3,86.54,38.67,0.0,74.86,576.5,156.54,718.5,1751.2500000000002,0.0,0.0,0.0,-2.2737367544323206e-13
198,52.14,47.39,248.49,38.14,0.19,56.33,676.5,83.22,556.0,1758.3999999999999,0.0,0.0,0.0,2.2737367544323206e-13
199,51.98,47.38,278.75,38.25,0.77,49.91,760.0,0.0,620.1,1701.4599999999998,0.0,145.68,0.0,5.684341886080802e-14
200,51.67,47.47,301.14,37.89,2.47,58.5,684.0,0.0,729.2,1749.17,0.0,163.17,0.0,8.526512829121202e-14
201,52.02,47.6,106.54,38.06,4.87,64.37,818.0,0.0,730.6,1682.02,0.0,180.04,0.0,-2.842170943040401e-14
202,52.0,47.62,105.45,38.44,5.43,54.82,877.0,0.0,730.8,1647.75,0.0,263.81,0.0,-5.684341886080802e-14
