,biomass,gas,hydro,nuclear,other_fossil,solar,wind_offshore,wind_onshore,demand,s_l,s_r
140,374.48,1620.49,107.89,4951.79,878.53,0.0,807.81,294.63,9755.0,0.0,111.60999999999876
141,370.43,1594.93,17.69,4951.03,840.11,0.0,807.42,361.33,9794.0,5.480000000001382,0.0
142,363.77,1561.89,78.17,4951.7,851.62,0.0,816.42,366.92,9882.0,26.63000000000102,0.0
143,286.79,1503.24,11.19,4951.75,843.57,0.0,800.47,364.53,9333.0,0.0,196.41000000000167
144,244.27,1556.56,11.3,4951.68,827.85,0.0,799.67,411.14,8942.0,0.0,155.33999999999875
145,243.31,1515.28,11.16,4952.38,816.39,0.0,787.15,445.84,8538.0,0.0,306.11000000000024
146,243.41,1579.87,11.02,4950.99,811.65,0.0,797.25,469.4,8359.0,0.0,666.5299999999979
147,242.22,1586.76,10.92,4951.27,815.31,0.0,814.32,617.66,8272.0,0.0,964.8099999999995
148,245.11,1557.16,10.84,4950.94,814.36,0.0,820.25,671.64,8306.0,0.0,749.8699999999999
149,246.25,1569.88,10.71,4953.31,825.02,0.0,821.87,744.88,8481.0,0.0,579.6400000000008
150,272.72,1495.96,10.61,4954.73,862.17,0.0,819.67,768.79,8579.0,0.0,473.42999999999756
151,278.39,1495.54,10.53,4953.99,879.12,0.02,823.92,860.37,9059.0,0.0,233.5300000000011
152,242.6,1512.72,15.55,4954.6,897.67,23.75,821.02,848.78,9526.0,9.789999999999736,0.0
153,244.1,1515.89,159.78,4954.48,924.29,95.37,816.88,892.21,9988.0,18.889999999999645,0.0
154,288.18,1577.52,264.37,4954.64,935.22,194.63,819.52,883.55,10383.0,0.0,51.330000000000155
155,316.04,1671.02,385.34,4954.69,987.78,310.12,820.89,874.6,10524.0,0.0,125.17000000000166
156,373.65,1604.59,188.97,4954.36,1019.68,374.05,817.37,899.24,10255.0,0.0,200.62999999999965
157,344.29,1588.25,143.8267,4954.67,998.1,293.66,822.7,906.48,9963.0,0.0,472.806700000001
158,306.24,1634.85,98.7433,4954.17,969.8,131.49,827.99,864.57,9915.0,0.0,339.9633000000017
159,369.96,1629.18,53.8,4958.61,1004.93,17.46,827.54,853.37,10123.0,2.6899999999989177,0.0
160,377.58,1604.44,531.01,4957.52,1008.12,0.0,826.51,907.04,10848.0,98.03999999999951,0.0
161,370.23,1579.78,520.35,4956.84,1007.8,0.0,827.65,888.73,11108.0,231.23000000000138,0.0
162,372.87,1638.17,902.22,4957.08,1000.47,0.0,829.06,879.04,10945.0,246.53000000000014,0.0
163,372.81,1597.66,652.41,4957.41,1000.46,0.0,826.88,824.59,10507.0,239.2600000000009,0.0
164,375.43,1602.36,85.92,4960.27,908.53,0.0,827.61,767.42,10091.0,234.33999999999978,0.0
165,372.14,1658.26,75.535,4960.8,878.09,0.0,823.33,687.58,10071.0,206.7149999999994,0.0
166,371.57,1670.09,65.2,4961.55,957.39,0.0,822.73,638.2,10044.0,228.11999999999767,0.0
167,372.37,1476.05,72.24,4961.73,914.9,0.0,820.52,523.24,9561.0,111.82999999999984,0.0
168,372.49,1421.59,14.36,4961.13,908.03,0.0,819.49,497.72,9242.0,0.0,541.7099999999991
169,372.7,1483.33,14.27,4960.11,888.75,0.0,809.11,485.49,8905.0,0.0,678.0600000000004
170,369.8,1479.02,14.27,4960.46,886.04,0.0,801.34,429.93,8755.0,0.0,1055.520000000001
171,369.42,1454.36,14.24,4961.76,874.96,0.0,794.76,452.96,8833.0,0.0,1115.4799999999996
172,372.12,1501.11,14.22,4961.64,882.72,0.0,785.99,435.01,9348.0,0.0,613.2300000000009
173,371.59,1664.76,14.17,4962.08,918.78,0.0,708.75,431.09,10675.0,0.0,22.210000000000946
174,363.5,2045.37,96.9,4960.72,977.2,0.0,700.85,455.13,11686.0,215.42999999999915,0.0
175,365.04,2072.63,298.14,4960.23,1025.04,0.0,727.98,499.74,12275.0,142.50000000000227,0.0
176,367.71,2120.06,894.72,4957.53,1035.6,10.75,736.35,445.44,12430.0,60.00999999999772,0.0
