,biomass,gas,hard_coal,hydro,lignite,nuclear,other_fossil,other_renewable,solar,wind_offshore,wind_onshore,demand,s_l,s_r
7867,4882.0,8475.0,13550.0,2077.0,15185.0,9350.0,1285.0,131.0,0.0,1204.0,3360.0,57511.6939,4129.973899999999,0.0
7868,4868.0,7737.0,13181.0,1858.0,15124.0,9345.0,1358.0,131.0,0.0,1224.0,3326.0,55541.0102,3933.0602000000017,0.0
7869,4846.0,7387.0,12731.0,1942.0,15038.0,9347.0,1437.0,131.0,0.0,1295.0,3108.0,54308.9082,3902.9681999999993,0.0
7870,4836.0,6550.0,12368.0,1262.0,15035.0,9350.0,1464.0,131.0,0.0,1269.0,2819.0,51433.898,3425.4680000000026,0.0
7871,4803.0,5834.0,11424.0,1224.0,14838.0,9351.0,1488.0,131.0,0.0,1376.0,2605.0,48572.3469,2437.4068999999945,0.0
7872,4789.0,5568.0,11137.0,1201.0,14617.0,9349.0,1487.0,131.0,0.0,1196.0,2559.0,46505.0408,1915.5908000000036,0.0
7873,4811.0,5593.0,10949.0,1191.0,14512.0,9350.0,1490.0,131.0,0.0,1190.0,2670.0,45337.7041,644.3241000000053,0.0
7874,4812.0,5384.0,10774.0,1200.0,14229.0,9352.0,1491.0,131.0,0.0,1490.0,2609.0,45115.7959,0.0,690.6541000000034
7875,4796.0,5363.0,10433.0,1166.0,13982.0,9354.0,1506.0,131.0,0.0,1810.0,2412.0,45375.4388,0.0,502.3911999999982
7876,4798.0,5357.0,10433.0,1185.0,13738.0,9322.0,1508.0,131.0,0.0,1848.0,2364.0,45197.2347,681.2546999999995,0.0
7877,4797.0,5394.0,11014.0,1242.0,14287.0,9129.0,1502.0,131.0,0.0,1878.0,2222.0,45202.2143,1305.8742999999995,0.0
7878,4823.0,5491.0,11530.0,1259.0,14926.0,9205.0,1499.0,131.0,11.0,1749.0,2223.0,47140.9898,1885.5598000000064,0.0
7879,4829.0,5771.0,11650.0,1220.0,15460.0,9350.0,1496.0,131.0,565.0,1999.0,2203.0,50436.3367,3601.9666999999954,0.0
7880,4811.0,5995.0,11809.0,1519.0,15709.0,9359.0,1494.0,131.0,2171.0,2384.0,2181.0,53947.051,4918.991,0.0
7881,4801.0,6496.0,11955.0,1629.0,15441.0,9364.0,1494.0,131.0,3732.0,2800.0,2516.0,56700.4286,5065.618600000002,0.0
7882,4796.0,6622.0,11856.0,2895.0,15472.0,9358.0,1485.0,131.0,4401.0,2930.0,2814.0,58878.3571,4922.527100000001,0.0
7883,4796.0,6552.0,12066.0,2786.0,15436.0,9348.0,1484.0,131.0,4422.0,2882.0,2766.0,58826.2041,4879.824100000005,0.0
