,hydro,nuclear,solar,wind_onshore,demand,s_l,s_r
228,1314.78,2821.8,35.47,17.06,8457.0,1400.9500000000007,0.0
229,1211.88,2822.0,25.22,18.46,8312.0,1310.7799999999988,0.0
230,1373.66,2819.4,12.22,12.39,8271.0,1291.4399999999987,0.0
231,1481.95,2818.9,2.38,9.83,8357.0,1642.4899999999998,0.0
232,2484.98,2819.7,0.06,6.22,8579.0,2146.629999999999,0.0
233,2401.74,2818.9,0.06,5.46,8574.0,2324.6499999999996,0.0
234,1716.81,2818.2,0.03,5.53,8293.0,2193.4500000000007,0.0
235,1099.93,2818.8,0.02,6.41,7817.0,1374.0400000000009,0.0
236,736.96,2822.0,0.03,4.18,7680.0,1345.380000000001,0.0
237,818.83,2823.6,0.01,5.55,7531.0,1235.0300000000007,0.0
238,730.46,2825.4,0.03,5.45,7319.0,1224.0200000000004,0.0
239,831.88,2826.3,0.11,2.41,6993.0,1093.7099999999991,0.0
240,625.09,2825.5,0.11,2.0,6967.0,1067.17,0.0
241,570.48,2826.3,0.11,0.94,7180.0,998.9300000000003,0.0
242,638.43,2824.2,0.1,1.17,7318.0,980.6100000000006,0.0
243,611.89,2826.0,0.08,1.37,7194.0,905.6000000000004,0.0
244,748.84,2824.2,0.09,0.56,7068.0,882.9200000000001,0.0
245,1116.04,2823.9,0.12,0.73,7520.0,1160.2900000000009,0.0
246,2729.53,2823.1,0.11,0.75,8298.0,1975.6900000000005,0.0
247,3666.53,2821.4,2.08,0.54,8609.0,2363.1499999999996,0.0
248,3415.58,2825.5,14.98,0.45,8665.0,2688.800000000001,0.0
249,2206.41,2824.2,31.59,0.19,8657.0,2500.01,0.0
250,2420.93,2822.9,49.37,0.02,8868.0,2313.8499999999985,0.0
251,1450.88,2821.6,60.43,0.02,8257.0,1931.0599999999995,0.0
252,1662.91,2815.6,53.45,0.12,8459.0,1824.7399999999998,0.0
253,1557.38,2815.8,32.86,0.99,8428.0,1506.9300000000003,0.0
254,1747.36,2813.3,14.36,2.09,8413.0,1514.510000000002,0.0
255,1957.19,2821.3,2.83,2.74,8545.0,1561.920000000002,0.0
256,4292.66,2821.6,0.14,2.7,8525.0,2074.58,0.0
257,4090.38,2815.8,0.13,2.55,8510.0,2428.9500000000007,0.0
258,1789.18,2815.3,0.13,1.86,8265.0,1869.0,0.0
259,1159.36,2817.4,0.13,1.05,7762.0,1146.9199999999983,0.0
260,1056.75,2818.6,0.14,0.76,7352.0,996.5100000000002,0.0
261,1081.33,2820.1,0.13,0.8,7201.0,1135.2299999999996,0.0
262,853.38,2823.1,0.14,1.76,6906.0,1080.5900000000001,0.0
263,629.41,2822.9,0.13,1.25,7232.0,1073.08,0.0
264,609.73,2823.4,0.14,1.28,7356.0,1157.1800000000003,0.0
265,563.5,2821.8,0.14,1.34,7361.0,1243.1899999999987,0.0
266,709.48,2821.6,0.13,2.14,7080.0,1167.25,0.0
267,690.68,2819.9,0.14,1.37,7040.0,1036.1100000000006,0.0
268,825.53,2824.1,0.13,0.76,7065.0,839.039999999999,0.0
269,1679.16,2829.6,0.15,0.9,7369.0,1193.25,0.0
270,3015.78,2824.0,0.15,1.54,8236.0,2198.5899999999992,0.0
271,2878.18,2820.4,0.71,1.7,8754.0,2631.6500000000005,0.0
272,3297.04,2819.2,6.71,1.15,9083.0,2669.8700000000013,0.0
273,3053.73,2818.6,14.22,0.95,9160.0,2636.99,0.0
274,2791.28,2822.5,22.33,0.89,9172.0,2483.2199999999993,0.0
275,3134.51,2821.6,27.23,0.74,8681.0,2086.8999999999996,0.0
276,2422.36,2821.1,24.79,0.36,8798.0,1891.0300000000007,0.0
277,2030.16,2819.1,18.69,0.27,8661.0,1738.6399999999994,0.0
278,1331.6,2821.1,10.57,0.48,8380.0,1325.0600000000013,0.0
279,1799.25,2821.8,2.12,1.08,8390.0,1537.67,0.0
280,3346.0,2821.2,0.22,1.15,8530.0,2168.7399999999993,0.0
281,3293.79,2821.0,0.16,0.64,8525.0,2404.7300000000005,0.0
282,1964.16,2821.8,0.15,0.51,8187.0,2070.3299999999995,0.0
283,1020.9,2823.0,0.15,1.1,7907.0,1329.6599999999999,0.0
284,1173.34,2824.7,0.15,2.35,7373.0,1588.9500000000005,0.0
285,1226.98,2825.7,0.14,2.36,7236.0,1554.8700000000006,0.0
286,906.04,2825.2,0.16,3.25,7210.0,1341.5400000000006,0.0
287,712.53,2826.5,0.15,2.49,7254.0,1294.7200000000003,0.0
288,635.64,2825.8,0.15,0.87,7576.0,1411.03,0.0
289,754.88,2825.5,0.16,0.63,7586.0,1122.0100000000002,0.0
290,490.28,2826.7,0.14,1.22,7775.0,1163.4400000000014,0.0
291,543.38,2826.4,0.15,1.2,7562.0,1249.54,0.0
292,576.43,2824.8,0.14,1.26,7470.0,1017.2699999999995,0.0
293,711.38,2825.5,0.15,2.04,7309.0,1066.3099999999995,0.0
294,749.73,2825.5,0.16,2.91,7371.0,1061.550000000001,0.0
295,1222.86,2826.1,2.42,3.68,7151.0,1117.5499999999993,0.0
296,1298.86,2825.1,20.73,4.34,7424.0,1377.0099999999998,0.0
297,1339.83,2827.7,49.64,3.95,7242.0,1481.35,0.0
298,1559.26,2826.1,70.65,4.35,7215.0,1580.4500000000003,0.0
299,1662.0,2825.9,79.38,3.51,7238.0,1505.1999999999998,0.0
300,908.31,2825.6,80.13,2.61,7104.0,1354.67,0.0
301,882.6,2824.0,66.69,1.6,7037.0,1217.67,0.0
302,1311.66,2824.8,37.81,1.22,6932.0,1250.1899999999987,0.0
303,1547.46,2824.1,8.48,1.27,7080.0,1205.1500000000015,0.0
304,2497.03,2824.2,0.28,0.74,7645.0,1241.4500000000007,0.0
305,3049.93,2823.7,0.26,1.46,7867.0,1463.25,0.0
306,3433.73,2825.3,0.26,1.82,7642.0,1575.1599999999999,0.0
307,2023.38,2826.5,0.26,2.67,7271.0,1561.8400000000001,0.0
308,1741.53,2824.8,0.27,2.51,6995.0,1168.8400000000001,0.0
309,2556.0,2827.1,0.26,2.27,7005.0,1129.3599999999988,0.0
310,1179.98,2830.0,0.26,2.25,6872.0,899.6499999999996,0.0
311,967.35,2829.6,0.27,2.09,6679.0,884.3999999999996,0.0
312,810.09,2831.2,0.25,1.43,7223.0,896.3199999999997,0.0
313,758.41,2831.8,0.27,0.82,7422.0,800.7999999999993,0.0
314,690.0,2831.5,0.26,1.03,7391.0,794.2399999999998,0.0
315,630.23,2833.0,0.26,0.78,7281.0,778.9599999999991,0.0
316,711.48,2830.4,0.27,0.78,7063.0,717.789999999999,0.0
317,743.73,2830.6,0.26,1.0,6998.0,789.7399999999998,0.0
318,729.83,2828.6,0.26,1.34,6807.0,605.7599999999984,0.0
319,756.49,2829.9,1.72,2.0,6774.0,653.1399999999994,0.0
320,887.55,2831.5,13.56,1.55,7123.0,802.4799999999996,0.0
321,849.08,2830.6,31.48,1.41,7373.0,895.7800000000007,0.0
322,1019.4,2830.7,44.39,1.33,7209.0,1081.6800000000003,0.0
323,1414.53,2828.5,50.27,0.71,7145.0,1211.9700000000003,0.0
324,896.5,2829.3,46.98,0.66,7272.0,1163.4099999999999,0.0
325,1125.38,2829.4,33.12,1.11,7253.0,1135.2699999999995,0.0
326,838.98,2827.4,16.8,1.67,7264.0,991.7799999999997,0.0
327,739.43,2826.0,3.46,1.28,7118.0,1044.67,0.0
328,2857.58,2828.2,0.26,0.74,7521.0,1214.9399999999996,0.0
329,3542.36,2827.3,0.27,0.22,7774.0,1638.659999999999,0.0
330,2780.73,2826.8,0.26,0.08,7608.0,1486.1499999999996,0.0
331,1765.63,2827.1,0.26,0.24,7294.0,1479.7200000000012,0.0
332,1238.84,2826.9,0.28,0.61,6994.0,1296.1100000000006,0.0
333,1110.06,2835.8,0.27,1.59,6956.0,939.0699999999997,0.0
334,829.11,2833.3,0.25,2.54,6815.0,906.7800000000007,0.0
335,661.46,2830.5,0.28,4.15,7249.0,683.7399999999998,0.0
336,611.03,2830.2,0.08,6.87,7760.0,672.5900000000001,0.0
337,587.44,2830.8,0.04,9.19,7787.0,728.7099999999991,0.0
338,577.34,2831.1,0.04,9.29,7755.0,714.6000000000004,0.0
339,605.15,2831.7,0.04,8.94,7690.0,486.02999999999884,0.0
340,732.83,2830.1,0.04,8.68,7938.0,410.10000000000036,0.0
341,1473.28,2829.0,0.04,11.13,7709.0,529.8899999999994,0.0
342,2736.0,2828.0,0.05,11.62,8543.0,1348.2000000000007,0.0
343,3511.73,2827.6,3.91,12.88,9033.0,1836.3600000000006,0.0
344,3780.36,2830.0,32.59,11.68,9068.0,1840.869999999999,0.0
345,2956.44,2827.7,75.47,11.6,9006.0,1721.880000000001,0.0
346,2786.35,2828.0,101.78,16.23,8899.0,1649.0200000000004,0.0
347,2270.93,2827.5,108.14,18.98,8554.0,1585.2799999999988,0.0
348,2191.01,2827.6,88.5,21.06,8585.0,1484.75,0.0
