,biomass,gas,hydro,lignite,nuclear,other_fossil,solar,wind_onshore,demand,s_l,s_r
7061,2.81,37.42,382.54,578.64,684.31,10.57,0.38,0.15,1885.0,229.9699999999999,0.0
7062,2.67,35.37,451.78,567.92,684.28,9.91,7.55,0.59,1932.0,203.82000000000005,0.0
7063,2.67,32.87,350.98,558.29,684.55,13.9,21.1,0.82,1920.0,363.05000000000007,0.0
7064,2.67,30.99,382.9,567.52,684.35,13.02,35.42,0.57,1890.0,224.4000000000001,0.0
7065,2.83,28.52,354.31,556.6,684.28,14.64,59.43,0.36,1902.0,32.670000000000186,0.0
7066,2.88,28.57,340.26,553.65,684.31,14.68,85.74,0.34,1897.0,4.440000000000055,0.0
7067,2.94,25.98,303.87,539.73,684.52,11.77,95.14,0.57,1860.0,48.360000000000014,0.0
7068,2.87,24.16,255.05,545.0,684.48,13.73,92.7,0.46,1798.0,30.23999999999978,0.0
7069,3.06,24.12,323.01,553.66,684.56,13.83,72.94,0.38,1744.0,0.0,38.840000000000146
7070,2.97,22.66,416.93,569.95,684.34,15.56,38.15,0.36,1725.0,0.0,172.12999999999977
7071,2.91,21.67,556.33,573.47,684.06,9.44,8.31,0.43,1744.0,0.0,164.80000000000007
7072,2.81,21.93,659.66,575.78,684.22,14.9,0.38,0.71,1879.0,0.0,404.7800000000001
7073,2.99,26.19,660.0,569.74,684.27,14.54,0.04,0.59,1958.0,0.0,99.10999999999967
7074,2.89,27.43,587.89,566.88,684.28,14.46,0.04,0.68,1853.0,0.0,40.030000000000086
7075,3.02,35.75,280.73,551.98,684.21,8.46,0.04,0.82,1715.0,13.400000000000091,0.0
7076,2.69,30.79,137.57,524.19,684.28,15.03,0.02,0.53,1569.0,266.0000000000001,0.0
7077,2.67,29.21,61.91,518.57,684.79,16.92,0.03,0.39,1468.0,364.7999999999997,0.0
7078,8.9,27.54,50.49,404.67,684.75,12.87,0.03,1.99,1370.0,432.1200000000001,0.0
7079,8.87,25.77,49.07,307.04,684.6,12.96,0.03,2.04,1320.0,543.1000000000001,0.0
7080,8.87,27.34,49.04,307.97,684.56,12.56,0.03,1.76,1286.0,532.86,0.0
7081,8.87,29.94,48.97,411.81,684.48,13.67,0.03,1.95,1282.0,340.52999999999963,0.0
7082,8.87,32.4,49.06,495.32,684.74,13.42,0.03,2.12,1306.0,0.0,95.58999999999969
7083,8.87,41.03,49.31,497.37,684.57,14.91,0.02,1.65,1414.0,57.74999999999966,0.0
7084,8.87,39.83,190.47,519.53,684.54,12.37,0.03,1.98,1768.0,220.41000000000054,0.0
7085,8.87,38.14,391.69,575.4,684.3,12.34,1.01,2.26,1969.0,161.6500000000002,0.0
7086,8.96,36.21,351.97,553.91,684.69,10.11,19.66,2.08,1978.0,28.079999999999814,0.0
7087,8.96,33.92,227.05,534.17,684.82,12.16,58.18,1.97,1922.0,183.34000000000003,0.0
7088,8.97,32.76,274.48,538.78,684.52,12.61,95.62,1.58,1862.0,33.41000000000031,0.0
7089,9.07,29.94,279.0,535.52,684.19,14.52,121.81,1.4,1863.0,0.0,34.11000000000013
7090,9.06,30.03,186.51,532.42,684.52,14.71,131.31,1.16,1858.0,243.3800000000001,0.0
7091,9.16,27.49,269.14,557.74,684.41,11.01,120.92,1.1,1900.0,306.3799999999999,0.0
7092,9.18,26.12,260.37,552.7,684.29,12.66,100.55,0.85,1805.0,177.22000000000003,0.0
7093,8.96,25.52,162.99,542.44,684.19,13.33,61.48,1.28,1801.0,379.0100000000002,0.0
7094,9.18,24.39,293.24,568.2,683.92,14.41,20.59,0.66,1834.0,482.56999999999994,0.0
7095,9.24,24.06,623.96,571.91,683.93,9.31,2.72,0.68,1861.0,209.94999999999982,0.0
7096,9.09,24.34,745.36,575.42,684.01,14.75,0.14,1.13,1987.0,22.86999999999989,0.0
7097,9.23,28.43,647.54,575.22,683.97,14.27,0.06,1.13,2013.0,119.17999999999995,0.0
7098,9.14,30.12,426.57,572.84,683.95,14.29,0.06,1.58,1923.0,104.75,0.0
7099,9.23,37.71,179.93,529.22,684.0,7.06,0.05,2.09,1769.0,350.54999999999995,0.0
7100,8.97,33.62,107.48,529.17,684.16,14.83,0.05,1.13,1639.0,162.47000000000025,0.0
7101,8.96,31.27,80.53,435.01,684.51,16.48,0.02,1.75,1499.0,194.33000000000015,0.0
7102,8.48,29.79,65.11,423.06,684.5,11.83,0.05,0.39,1418.0,215.11000000000013,0.0
7103,8.45,27.63,51.3,360.37,684.24,12.55,0.05,0.32,1374.0,339.57000000000005,0.0
7104,8.45,29.52,49.66,320.35,684.29,12.09,0.05,0.24,1339.0,377.0200000000002,0.0
7105,8.45,30.46,49.82,318.91,684.38,13.3,0.04,0.2,1365.0,386.6300000000001,0.0
7106,8.51,33.93,49.58,418.82,684.51,12.83,0.04,0.34,1350.0,83.73000000000025,0.0
7107,8.45,36.82,88.58,473.73,684.61,14.65,0.06,0.05,1466.0,82.85000000000014,0.0
7108,8.45,40.14,79.81,640.45,684.25,12.47,0.04,1.31,1775.0,333.47000000000037,0.0
7109,8.45,39.06,453.19,698.02,683.97,12.86,0.73,0.16,2007.0,161.4699999999998,0.0
7110,9.02,38.87,552.6,688.29,683.94,9.03,13.31,0.43,2012.0,145.11000000000013,0.0
7111,9.02,36.71,482.69,692.08,684.41,13.43,53.12,0.64,1920.0,64.31999999999982,0.0
