,hydro,lignite,wind_onshore,demand,s_l,s_r
193,0.0,177.71,0.0,311.0,237.35,0.0
194,0.0,178.26,0.0,294.0,219.59,0.0
195,0.0,177.76,0.0,289.0,211.47000000000003,0.0
196,0.0,178.81,0.0,297.0,225.29,0.0
197,0.0,206.58,0.0,329.0,310.58,0.0
198,0.58,207.46,0.0,372.0,312.41999999999996,0.0
199,210.08,207.19,0.0,415.0,169.05,0.0
200,210.84,206.31,0.0,440.0,175.58,0.0
201,210.56,205.59,0.0,444.0,162.82000000000002,0.0
202,210.13,207.46,0.0,436.0,170.56999999999996,0.0
203,210.79,206.97,0.0,431.0,159.76000000000002,0.0
204,210.42,206.53,0.0,426.0,171.18,0.0
205,212.14,207.24,0.0,418.0,122.17,0.0
206,212.42,207.02,0.0,422.0,162.03,0.0
207,211.76,205.76,0.0,447.0,212.21,0.0
208,212.04,206.03,0.0,470.0,192.67000000000002,0.0
209,210.19,204.93,0.0,470.0,151.14999999999998,0.0
210,210.41,204.44,0.0,463.0,124.64999999999998,0.0
211,105.17,190.91,0.0,453.0,186.86,0.0
212,104.89,201.63,0.0,443.0,215.96000000000004,0.0
213,0.0,206.53,0.0,425.0,288.75,0.0
214,0.0,206.97,0.0,414.0,311.97,0.0
215,0.0,206.69,0.0,387.0,302.9,0.0
216,0.0,206.97,0.0,350.0,247.05,0.0
217,0.0,206.47,0.0,323.0,212.79000000000002,0.0
218,0.0,207.13,0.0,303.0,190.59,0.0
219,0.0,207.19,0.0,298.0,194.12,0.0
220,1.29,207.52,0.0,305.0,232.60999999999999,0.0
221,137.92,206.03,0.0,338.0,164.82000000000002,0.0
222,217.73,206.58,0.0,381.0,124.88999999999999,0.0
223,315.79,206.97,0.0,423.0,144.45000000000002,0.0
224,315.18,206.2,0.0,446.0,181.36,0.0
225,316.21,206.53,0.0,449.0,167.20999999999998,0.0
226,315.07,206.58,0.0,444.0,145.17000000000002,0.0
227,314.62,207.46,0.0,437.0,114.13999999999996,0.0
228,316.26,207.08,0.0,431.0,57.12999999999997,0.0
229,315.46,206.14,0.0,422.0,7.740000000000094,0.0
230,316.83,207.13,0.0,430.0,0.0,18.16000000000004
231,316.26,206.03,0.0,457.0,156.90000000000003,0.0
232,330.81,204.82,0.0,479.0,184.43,0.0
233,331.42,204.77,0.0,477.0,158.78999999999994,0.0
234,330.48,206.03,0.0,472.0,120.59,0.0
235,253.41,207.3,0.0,467.0,22.459999999999965,0.0
236,210.74,206.58,0.0,456.0,47.70999999999995,0.0
237,0.2,206.91,0.0,435.0,196.06,0.0
238,1.01,206.03,0.0,421.0,248.28,0.0
239,104.46,206.64,0.0,389.0,78.45000000000003,0.0
240,105.55,205.04,0.0,351.0,67.63000000000002,0.0
241,105.5,205.81,0.0,322.0,55.01,0.0
242,106.1,205.98,0.0,308.0,41.100000000000016,0.0
243,106.01,206.2,0.0,302.0,50.49000000000002,0.0
244,104.59,204.6,0.0,311.0,70.10000000000001,0.0
245,209.73,204.71,0.0,341.0,119.15,0.0
246,302.49,206.2,0.0,382.0,144.78000000000003,0.0
247,332.21,207.08,0.0,418.0,196.77000000000004,0.0
248,334.11,208.12,0.0,447.0,233.78999999999996,0.0
249,332.66,207.35,0.0,454.0,222.79000000000002,0.0
250,335.43,204.6,0.0,459.0,222.26000000000005,0.0
251,334.19,208.62,0.0,456.0,225.54000000000008,0.0
252,334.44,207.08,0.0,450.0,217.62,0.0
253,335.43,205.76,0.0,447.0,206.74999999999994,0.0
254,335.38,206.69,0.0,453.0,195.93000000000006,0.0
255,333.35,206.25,0.0,469.0,303.52,0.0
256,331.49,206.91,0.0,488.0,293.12,0.0
257,331.55,205.37,0.0,486.0,253.6699999999999,0.0
258,332.18,205.7,0.0,479.0,233.42000000000002,0.0
259,248.01,205.48,0.0,469.0,215.01,0.0
260,292.55,206.09,0.0,455.0,186.08,0.0
261,210.01,205.21,0.0,435.0,238.89,0.0
262,105.04,205.37,0.0,425.0,312.37,0.0
263,106.08,206.42,0.0,394.0,213.13,0.0
264,106.06,205.81,0.0,359.0,193.35,0.0
265,105.85,206.53,0.0,326.0,167.26,0.0
266,105.95,207.3,0.0,309.0,142.63,0.0
267,106.21,206.14,0.0,304.0,147.16000000000003,0.0
268,105.67,206.53,0.0,312.0,173.69,0.0
269,216.38,206.64,0.0,342.0,93.56000000000003,0.0
270,272.02,206.97,0.0,387.0,105.38,0.0
271,331.42,207.02,0.0,423.0,178.16999999999996,0.0
272,331.55,206.31,0.0,446.0,217.69,0.0
273,330.81,205.76,0.0,443.0,198.13000000000005,0.0
274,329.46,201.36,0.0,440.0,175.94000000000005,0.0
275,331.58,206.03,0.0,429.0,173.12,0.0
276,331.63,205.87,0.0,421.0,151.31,0.0
277,330.59,204.22,0.0,413.0,142.91000000000008,0.0
278,330.2,204.16,0.0,422.0,153.39,0.0
279,332.24,203.78,0.0,456.0,222.33000000000004,0.0
280,330.59,203.72,0.0,486.0,230.78000000000003,0.0
281,330.5,205.48,0.0,491.0,214.45,0.0
282,329.67,206.09,0.0,487.0,182.65,0.0
283,271.36,205.26,0.0,477.0,150.67,0.0
284,299.94,206.31,0.0,457.0,141.14,0.0
285,207.52,206.58,0.0,438.0,209.77999999999997,0.0
286,105.3,205.98,0.0,428.0,266.67,0.0
287,0.0,206.09,0.0,402.0,305.42,0.0
288,0.0,179.8,0.0,358.0,273.48,0.0
289,0.0,156.53,0.0,327.0,260.0,0.0
290,0.0,154.39,0.0,311.0,226.74,0.0
291,0.0,156.97,0.0,301.0,219.4,0.0
292,0.0,159.78,0.0,307.0,202.36,0.0
293,0.0,179.19,0.0,328.0,211.65,0.0
294,0.0,205.1,0.0,359.0,220.63,0.0
295,0.0,206.75,0.0,402.0,275.7,0.0
296,0.0,206.86,0.0,431.0,298.63,0.0
297,0.0,206.69,0.0,435.0,327.90999999999997,0.0
298,0.0,207.74,0.0,428.0,312.82,0.0
299,0.0,206.64,0.0,417.0,318.86,0.0
300,0.0,206.97,0.0,411.0,315.82,0.0
301,0.0,206.31,0.0,410.0,349.13,0.0
302,0.0,206.75,0.0,412.0,342.51,0.0
303,0.0,206.97,0.0,440.0,456.03999999999996,0.0
304,0.0,205.87,0.0,479.0,448.79999999999995,0.0
305,0.0,207.13,0.0,483.0,398.98,0.0
306,0.0,207.63,0.0,481.0,361.94,0.0
307,0.0,206.69,0.0,473.0,331.53,0.0
308,0.0,206.91,0.0,455.0,314.04,0.0
309,0.0,206.75,0.0,427.0,347.13,0.0
310,0.0,206.2,0.0,417.0,403.69,0.0
311,0.0,206.36,0.0,396.0,347.16999999999996,0.0
312,0.0,206.31,0.0,362.0,299.1,0.0
313,0.0,184.97,0.0,331.0,273.14,0.0
314,0.0,182.88,0.0,314.0,245.0,0.0
315,0.0,183.15,0.0,307.0,251.24,0.0
316,0.0,183.43,0.0,308.0,235.51999999999998,0.0
317,0.0,185.41,0.0,329.0,247.54000000000002,0.0
318,0.0,207.3,0.0,385.0,306.02,0.0
319,0.0,206.91,0.0,426.0,370.33000000000004,0.0
320,0.0,207.19,0.0,474.0,453.67,0.0
321,0.0,206.8,0.0,490.0,490.36,0.0
322,0.0,207.08,0.0,485.0,467.11999999999995,0.0
323,0.0,206.2,0.0,485.0,462.96000000000004,0.0
324,0.0,207.52,0.0,481.0,471.75,0.0
325,0.0,206.91,0.0,476.0,501.83000000000004,0.0
326,0.0,207.85,0.0,478.0,539.03,0.0
327,0.0,207.08,0.0,488.0,635.25,0.0
328,0.0,206.36,0.0,506.0,583.17,0.0
329,0.0,206.69,0.0,505.0,565.54,0.0
330,0.0,207.08,0.0,501.0,551.1899999999999,0.0
331,0.0,206.69,0.0,499.0,530.58,0.0
332,0.0,207.24,0.0,492.0,507.23,0.0
333,0.0,205.65,0.0,467.0,507.05,0.0
334,0.0,205.87,0.0,432.0,465.5,0.0
335,0.0,205.76,0.0,390.0,396.20000000000005,0.0
336,0.0,205.92,0.0,352.0,374.98,0.0
337,0.0,206.09,0.0,327.0,358.72,0.0
338,0.0,206.53,0.0,313.0,348.01,0.0
339,0.0,206.53,0.0,304.0,360.83000000000004,0.0
340,0.0,206.58,0.0,315.0,392.5,0.0
341,105.24,204.88,0.0,354.0,288.12,0.0
342,269.31,205.43,0.0,403.0,272.78,0.0
343,312.58,206.14,0.0,448.0,353.60999999999996,0.0
344,327.06,205.48,0.0,474.0,373.59000000000003,0.0
345,334.8,205.26,0.0,484.0,374.71000000000004,0.0
346,315.76,205.48,0.0,490.0,356.40999999999997,0.0
347,329.97,205.37,0.0,492.0,320.48999999999995,0.0
348,333.35,204.82,0.0,492.0,294.1499999999999,0.0
349,335.91,204.6,0.0,478.0,284.67,0.0
350,334.97,206.91,0.0,478.0,321.0,0.0
351,335.79,205.21,0.0,493.0,362.9,0.0
352,334.42,205.81,0.0,510.0,344.29999999999995,0.0
353,335.07,206.36,0.0,511.0,327.66999999999996,0.0
354,333.94,206.47,0.0,503.0,294.68,0.0
355,210.26,205.21,0.0,492.0,312.37,0.0
356,104.63,205.32,0.0,476.0,342.46000000000004,0.0
357,0.05,205.87,0.0,458.0,461.65,0.0
358,0.0,205.98,0.0,464.0,476.59,0.0
359,0.0,204.11,0.0,430.0,424.35,0.0
360,0.0,205.54,0.0,384.0,381.46000000000004,0.0
361,0.0,206.14,0.0,346.0,352.35,0.0
362,0.0,206.2,0.0,337.0,345.09000000000003,0.0
363,0.0,206.64,0.0,349.0,355.44000000000005,0.0
364,0.0,206.53,0.0,349.0,389.28,0.0
365,105.67,206.2,0.0,383.0,343.86,0.0
366,211.51,205.7,0.0,411.0,308.0,0.0
367,337.13,205.87,0.0,461.0,377.23,0.0
368,338.84,205.81,0.0,487.0,346.02000000000004,0.0
369,339.12,206.31,0.0,500.0,327.23999999999995,0.0
370,338.68,204.99,0.0,499.0,308.37999999999994,0.0
371,338.96,205.37,0.0,492.0,297.9700000000001,0.0
372,335.25,206.14,0.0,484.0,253.72000000000003,0.0
373,311.12,206.25,0.0,473.0,274.58,0.0
374,338.89,206.14,0.0,472.0,279.46000000000004,0.0
375,339.52,206.86,0.0,488.0,349.79,0.0
376,340.51,206.25,0.0,511.0,361.64,0.0
377,340.61,201.19,0.0,512.0,345.83000000000004,0.0
378,335.43,206.8,0.0,505.0,286.25,0.0
379,211.18,206.36,0.0,494.0,321.91999999999996,0.0
380,0.07,207.35,0.0,480.0,442.0400000000001,0.0
381,0.0,206.09,0.0,462.0,421.35,0.0
382,0.0,205.37,0.0,451.0,401.32,0.0
383,0.0,203.01,0.0,411.0,309.65,0.0
384,0.0,202.4,0.0,368.0,273.78,0.0
385,0.0,202.29,0.0,336.0,247.82,0.0
386,0.0,202.68,0.0,318.0,220.95,0.0
387,0.0,202.57,0.0,313.0,240.02,0.0
388,0.41,203.23,0.0,324.0,277.39,0.0
389,106.08,202.51,0.0,357.0,240.10000000000002,0.0
390,162.13,203.01,0.0,402.0,294.0,0.0
391,330.02,202.29,0.0,447.0,273.5400000000001,0.0
392,330.94,201.8,0.0,470.0,298.61,0.0
393,330.26,202.07,0.0,476.0,312.31000000000006,0.0
394,330.64,202.07,0.0,479.0,319.92999999999995,0.0
395,298.29,202.79,0.0,478.0,343.83,0.0
396,292.53,202.62,0.0,468.0,307.14000000000004,0.0
397,312.44,202.35,0.0,463.0,285.68000000000006,0.0
398,315.22,201.96,0.0,467.0,258.74999999999994,0.0
399,332.54,205.32,0.0,487.0,261.41999999999996,0.0
400,330.86,205.92,0.0,510.0,249.17000000000002,0.0
401,313.81,206.91,0.0,512.0,243.27999999999997,0.0
402,331.17,206.03,0.0,508.0,262.13999999999993,0.0
403,261.62,206.64,0.0,499.0,308.83,0.0
404,0.0,205.7,0.0,480.0,418.77,0.0
405,0.0,204.88,0.0,462.0,402.56,0.0
406,0.0,204.27,0.0,450.0,392.09000000000003,0.0
407,0.0,205.26,0.0,416.0,315.5,0.0
408,0.0,206.8,0.0,377.0,282.07,0.0
409,0.0,185.96,0.0,341.0,261.26,0.0
410,0.0,174.13,0.0,319.0,245.18,0.0
411,0.0,173.91,0.0,312.0,235.11,0.0
412,0.0,184.03,0.0,321.0,228.36,0.0
413,139.46,203.5,0.0,360.0,239.41999999999996,0.0
414,182.36,207.24,0.0,410.0,205.64,0.0
415,312.84,206.75,0.0,451.0,209.42000000000007,0.0
416,311.88,205.7,0.0,466.0,237.51000000000005,0.0
417,312.96,206.97,0.0,464.0,225.36000000000007,0.0
418,312.53,207.63,0.0,455.0,230.36,0.0
419,312.84,206.03,0.0,446.0,211.92000000000002,0.0
420,312.02,207.24,0.0,445.0,206.39,0.0
421,313.37,206.97,0.0,433.0,190.46999999999997,0.0
422,313.45,206.36,0.0,434.0,157.97000000000006,0.0
423,311.83,206.42,0.0,458.0,166.73,0.0
424,338.7,206.25,0.0,500.0,165.13999999999996,0.0
425,330.15,206.47,0.0,512.0,137.96,0.0
426,329.52,205.76,0.0,510.0,129.94000000000003,0.0
427,208.51,206.64,0.0,505.0,223.87000000000003,0.0
428,0.0,206.75,0.0,490.0,351.87,0.0
429,0.0,205.81,0.0,445.0,326.01,0.0
430,0.0,205.43,0.0,452.0,380.28,0.0
431,0.0,206.8,0.0,416.0,349.35,0.0
432,0.0,206.47,0.0,371.0,304.16999999999996,0.0
433,0.0,206.47,0.0,339.0,286.65,0.0
434,0.0,207.35,0.0,320.0,274.06,0.0
435,0.0,207.52,0.0,316.0,252.39,0.0
436,1.62,207.52,0.0,323.0,282.13,0.0
437,106.31,206.09,0.0,359.0,270.39,0.0
438,152.28,207.24,0.0,406.0,241.68,0.0
439,330.36,206.14,0.0,456.0,227.75,0.0
440,330.03,203.06,0.0,478.0,241.0100000000001,0.0
441,312.1,206.42,0.0,483.0,235.15000000000003,0.0
442,312.03,205.37,0.0,484.0,238.78000000000003,0.0
443,312.48,206.58,0.0,478.0,210.22999999999993,0.0
444,312.26,205.59,0.0,478.0,197.55999999999997,0.0
445,312.59,203.89,0.0,475.0,214.72999999999996,0.0
446,312.84,206.03,0.0,474.0,210.06,0.0
447,312.48,205.87,0.0,493.0,282.53999999999996,0.0
448,311.59,205.92,0.0,509.0,310.91,0.0
449,329.85,204.27,0.0,520.0,286.11,0.0
450,311.77,205.81,0.0,514.0,268.5300000000001,0.0
451,208.38,206.25,0.0,504.0,323.76,0.0
452,0.0,205.59,0.0,485.0,432.5,0.0
453,0.0,203.83,0.0,466.0,442.67999999999995,0.0
454,0.0,206.42,0.0,446.0,444.66,0.0
455,0.0,206.2,0.0,412.0,303.66,0.0
456,0.0,204.6,0.0,382.0,289.57,0.0
457,0.0,179.91,0.0,351.0,297.5,0.0
458,0.0,178.04,0.0,336.0,291.04,0.0
459,0.0,178.7,0.0,337.0,327.26,0.0
460,0.0,178.48,0.0,342.0,361.11,0.0
461,0.0,202.84,0.0,365.0,389.0,0.0
462,0.0,206.25,0.0,392.0,383.39,0.0
463,0.0,206.42,0.0,435.0,426.93,0.0
464,0.0,206.14,0.0,467.0,424.63,0.0
465,0.0,206.25,0.0,481.0,444.98,0.0
466,0.0,206.03,0.0,480.0,462.28000000000003,0.0
467,0.0,206.58,0.0,479.0,483.35999999999996,0.0
468,0.0,206.14,0.0,468.0,487.39,0.0
469,0.0,205.43,0.0,462.0,490.41999999999996,0.0
470,0.0,206.75,0.0,443.0,455.90999999999997,0.0
471,0.38,206.47,0.0,448.0,494.58000000000004,0.0
472,72.57,206.14,0.0,478.0,458.77000000000004,0.0
473,71.1,204.99,0.0,482.0,440.92999999999995,0.0
474,70.42,206.97,0.0,480.0,412.96000000000004,0.0
475,70.13,206.25,0.0,477.0,425.15999999999997,0.0
476,0.0,206.2,0.0,466.0,429.73,0.0
477,0.0,206.75,0.0,452.0,417.38,0.0
478,0.0,206.75,0.0,441.0,437.0,0.0
479,0.0,206.42,0.0,413.0,369.66,0.0
480,0.0,206.03,0.0,377.0,309.28,0.0
481,0.0,206.03,0.0,343.0,271.09000000000003,0.0
482,0.0,200.97,0.0,323.0,276.31,0.0
483,0.0,192.12,0.0,314.0,276.94,0.0
484,0.0,192.12,0.0,314.0,298.66999999999996,0.0
485,0.0,192.12,0.0,332.0,323.64,0.0
486,0.0,205.7,0.0,363.0,392.12,0.0
487,0.0,207.35,0.0,412.0,481.12,0.0
488,0.0,205.98,0.0,457.0,537.91,0.0
489,0.0,206.47,0.0,486.0,588.98,0.0
490,0.0,206.2,0.0,504.0,616.87,0.0
491,0.0,206.42,0.0,511.0,612.4300000000001,0.0
492,0.0,206.2,0.0,508.0,562.54,0.0
493,0.0,206.03,0.0,506.0,549.4300000000001,0.0
494,0.0,206.36,0.0,508.0,512.52,0.0
495,0.0,206.8,0.0,517.0,535.81,0.0
496,88.8,205.81,0.0,540.0,502.81,0.0
497,95.22,206.09,0.0,544.0,476.71000000000004,0.0
498,94.92,206.47,0.0,546.0,441.57000000000005,0.0
499,0.0,205.59,0.0,542.0,432.28,0.0
500,0.0,207.24,0.0,530.0,386.81,0.0
501,0.0,206.25,0.0,503.0,416.7,0.0
502,0.0,206.69,0.0,461.0,418.87,0.0
503,0.0,207.3,0.0,412.0,369.49,0.0
