,biomass,gas,hard_coal,other_fossil,solar,wind_offshore,wind_onshore,demand,s_l,s_r
7971,468.21,295.78,849.9,112.59,0.01,1006.91,3107.46,3907.7,4.230000000000473,0.0
7972,505.85,305.42,906.04,114.11,0.02,1007.25,2833.38,4177.7,0.0,22.500000000000455
7973,537.79,341.49,1088.47,114.45,0.02,832.0,2903.95,4806.8,5.2599999999997635,0.0
7974,553.79,387.42,1235.9,128.34,0.06,1015.53,2815.32,5481.5,0.0,9.630000000000678
7975,545.88,397.23,1216.5,126.02,0.7,912.15,2681.02,5709.0,0.7000000000001592,0.0
7976,545.27,413.66,1208.8,122.5,4.98,1011.26,2527.4,5723.2,0.0,8.480000000000686
7977,533.33,430.83,1155.76,119.75,13.97,824.07,2398.44,5802.8,0.0,40.60999999999967
7978,527.16,439.82,1187.72,130.46,20.22,936.14,2384.4,5753.8,0.0,48.590000000000146
7979,526.39,435.29,1128.77,129.76,19.88,1009.44,2406.17,5664.0,0.0,52.8100000000004
7980,543.53,455.88,1193.95,134.68,14.38,1002.17,2469.49,5635.9,0.0,60.0600000000004
7981,538.7,414.8,1125.33,123.07,6.87,981.83,2536.0,5621.3,0.0,62.01000000000039
7982,532.17,435.35,1017.57,116.98,0.97,1005.99,2780.4,5560.3,0.0,55.46000000000049
7983,543.11,441.22,1011.73,118.88,0.09,1025.2,3054.02,5736.4,0.0,65.39000000000055
7984,490.64,434.88,1085.71,118.09,0.02,1026.56,3493.02,5901.8,0.0,100.56999999999971
7985,511.39,389.49,939.06,117.12,0.02,1026.65,3338.57,5727.9,0.0,49.47000000000071
7986,510.79,363.91,958.04,115.42,0.02,1026.77,3327.5,5409.4,0.0,39.90000000000009
7987,496.28,283.19,1006.9,114.0,0.02,1026.69,3444.22,5045.9,0.0,65.36999999999989
7988,495.86,248.94,1021.2,112.85,0.01,1025.41,3431.69,4751.2,0.0,73.6899999999996
7989,517.7,231.16,920.92,113.92,0.0,1020.59,2923.8,4415.4,0.0,42.04000000000087
7990,637.8,201.3,922.13,113.35,0.0,1014.53,2644.07,4066.2,0.0,8.460000000000491
7991,625.38,229.36,863.27,121.55,0.0,1006.8,2573.68,3735.3,0.0,144.34999999999877
