,biomass,gas,hydro,other_fossil,solar,wind_onshore,demand,s_l,s_r
237,52.05,45.65,81.99,38.47,0.0,214.17,1306.0,576.6300000000001,0.0
238,52.1,45.66,58.4,38.68,0.0,206.68,1229.0,542.8000000000001,0.0
239,52.26,45.65,96.5,38.72,0.0,192.97,1186.0,0.0,14.629999999999825
240,52.17,45.69,101.84,38.68,0.0,194.28,1167.0,0.0,122.68999999999983
241,52.16,45.7,104.58,38.73,0.0,172.56,1155.0,0.0,183.32000000000005
242,52.38,45.7,104.6,38.5,0.0,193.29,1166.0,0.0,260.77000000000004
243,52.64,45.67,104.62,39.01,0.0,157.01,1230.0,0.0,338.9100000000001
244,53.05,45.7,101.01,38.61,0.0,143.74,1462.0,0.0,180.8699999999999
245,53.02,45.71,116.09,38.37,0.0,129.81,1684.0,0.0,142.6199999999999
246,52.3,45.76,301.15,39.28,0.34,93.04,1818.0,0.0,17.059999999999945
247,52.79,45.8,486.19,38.76,1.32,88.16,1851.0,62.059999999999945,0.0
248,52.88,45.81,486.47,39.18,3.35,79.9,1857.0,124.00000000000004,0.0
249,53.15,45.76,492.45,39.21,4.6,70.01,1875.0,280.71,0.0
250,53.08,45.82,496.76,39.14,4.67,62.02,1857.0,327.42,0.0
251,52.61,45.84,381.37,39.05,4.34,53.85,1866.0,330.9999999999998,0.0
252,52.89,45.83,265.12,38.22,2.22,54.14,1854.0,128.27999999999992,0.0
253,53.01,45.78,316.2,38.15,0.02,61.64,1850.0,233.12,0.0
254,52.65,45.79,345.65,37.28,0.0,58.79,1865.0,88.64999999999986,0.0
255,52.69,45.85,425.94,37.62,0.0,64.85,1884.0,156.37999999999965,0.0
256,52.69,45.85,506.08,37.62,0.0,64.85,1836.0,315.86999999999983,0.0
257,52.87,45.86,501.78,38.26,0.0,99.42,1779.0,359.0200000000002,0.0
258,52.65,45.79,105.98,37.99,0.0,98.61,1718.0,532.8800000000001,0.0
259,52.74,45.83,105.41,38.15,0.0,113.17,1614.0,476.60000000000014,0.0
260,52.41,45.86,105.43,38.03,0.0,120.04,1453.0,469.11999999999995,0.0
261,52.04,45.86,105.44,38.69,0.0,119.4,1323.0,558.2199999999999,0.0
262,51.85,45.87,102.79,38.27,0.0,124.25,1243.0,329.58000000000004,0.0
263,51.76,45.9,105.43,38.54,0.0,129.42,1187.0,0.0,159.38999999999996
264,51.56,45.89,96.56,38.22,0.0,120.58,1173.0,0.0,105.19999999999993
265,51.51,45.88,93.86,38.58,0.0,124.32,1162.0,0.0,129.76000000000016
266,51.68,45.87,96.53,38.74,0.0,130.07,1172.0,0.0,90.36999999999989
267,52.0,45.84,96.55,39.22,0.0,122.83,1231.0,0.0,195.27000000000015
268,52.57,45.88,96.65,38.54,0.0,116.44,1473.0,0.0,142.31999999999994
269,52.58,45.84,105.4,37.52,0.0,121.87,1691.0,0.0,184.98000000000002
270,52.61,45.82,376.19,37.33,0.17,121.73,1834.0,0.0,35.28999999999991
