,biomass,gas,hard_coal,hydro,lignite,other_fossil,wind_onshore,demand,s_l,s_r
8193,245.43,1110.37,8853.11,67.99,5062.58,239.27,4333.94,20469.3878,140.70780000000013,0.0
8194,245.2,1110.8,8673.23,85.92,5233.67,236.99,4345.66,20552.0408,193.82079999999655,0.0
8195,245.12,1110.26,8611.75,162.02,4979.41,243.29,4217.4,20326.5306,180.75059999999712,0.0
8196,245.48,1108.55,8824.83,219.22,4742.06,247.86,3975.1,20207.1429,180.87290000000053,0.0
8197,245.68,1110.37,8713.33,169.97,4723.4,243.14,3788.25,19702.0408,226.90079999999796,0.0
8198,244.95,1110.81,8720.91,148.7,4971.94,238.79,3873.04,19874.4898,222.81979999999749,0.0
8199,245.88,1117.14,8805.65,538.39,5440.16,242.92,4087.67,20826.5306,296.3306000000007,0.0
8200,245.5,1116.86,8890.22,654.84,4895.0,245.08,4330.1,20683.6735,233.59350000000086,0.0
8201,244.15,1112.83,8862.7,878.66,4198.96,249.89,4422.43,20293.8776,164.48760000000175,0.0
8202,245.61,1115.11,8871.36,1027.08,3847.94,252.18,4474.28,19987.7551,134.54509999999573,0.0
8203,246.16,1112.77,8456.4,1051.71,3875.78,252.12,4511.44,19277.551,87.43099999999731,0.0
8204,245.96,1072.93,7967.19,801.14,3543.32,253.31,4566.55,18143.8776,44.74760000000333,0.0
8205,246.37,1073.79,7608.25,480.45,3389.15,254.3,4445.23,17081.6327,0.0,14.407300000002579
8206,245.55,1048.79,7513.35,222.18,2776.65,254.35,4338.62,16134.6939,39.65389999999934,0.0
8207,246.19,1042.63,7383.94,116.08,2285.4,253.09,4295.58,15157.1429,0.0,332.5770999999977
8208,245.54,1012.11,7292.06,117.8,2280.36,252.15,4190.94,14518.3673,0.0,643.1626999999987
8209,244.63,988.61,7287.98,117.74,2276.23,251.89,4242.39,14154.0816,0.0,986.2883999999976
8210,245.23,974.63,7301.47,117.28,2287.03,251.7,4154.28,14090.8163,0.0,905.8337000000015
8211,246.15,974.11,7331.82,117.3,2294.11,249.98,3979.33,13879.5918,0.0,969.7681999999988
8212,245.15,978.14,7361.1,117.45,2273.41,249.04,4010.88,13993.8776,0.0,857.4024000000022
8213,246.43,1015.72,7467.58,117.76,2347.02,250.1,4040.21,14565.3061,0.0,582.4139000000016
8214,247.14,1045.72,7521.58,117.05,2365.88,249.49,3945.63,14705.102,0.0,515.0379999999975
8215,246.16,1031.57,8011.8,118.09,2520.69,250.31,3793.42,15380.6122,28.77219999999852,0.0
