,biomass,gas,hydro,other_fossil,wind_onshore,demand,s_l,s_r
7738,85.0,507.0,12.0,86.0,9.0,874.0,770.5,0.0
7739,85.0,507.0,2.0,86.0,10.0,882.0,817.5,0.0
7740,84.0,518.0,0.0,86.0,7.0,877.0,826.0,0.0
7741,84.0,517.0,0.0,86.0,6.0,882.0,818.0,0.0
7742,85.0,518.0,11.0,86.0,7.0,937.0,760.0,0.0
7743,85.0,520.0,3.0,87.0,8.0,973.0,796.5,0.0
7744,87.0,516.0,0.0,90.0,9.0,972.0,840.5,0.0
7745,87.0,515.0,1.0,90.0,12.0,950.0,916.5,0.0
7746,87.0,404.0,50.0,90.0,12.0,922.0,922.5,0.0
7747,87.0,307.0,0.0,90.0,8.0,875.0,857.5,0.0
7748,85.0,300.0,17.0,88.0,4.0,786.0,690.5,0.0
7749,84.0,277.0,34.0,87.0,3.0,712.0,605.5,0.0
7750,84.0,248.0,2.0,87.0,4.0,653.0,537.5,0.0
7751,84.0,249.0,0.0,87.0,4.0,615.0,481.0,0.0
7752,83.0,250.0,0.0,87.0,3.0,600.0,529.0,0.0
7753,83.0,250.0,0.0,87.0,3.0,594.0,477.0,0.0
7754,83.0,250.0,0.0,86.0,4.0,609.0,529.0,0.0
7755,84.0,263.0,0.0,86.0,3.0,657.0,514.5,0.0
7756,85.0,325.0,0.0,86.0,3.0,789.0,468.5,0.0
7757,82.0,361.0,0.0,87.0,3.0,950.0,684.5,0.0
7758,78.0,429.0,0.0,86.0,3.0,1044.0,807.5,0.0
7759,76.0,546.0,13.0,86.0,2.0,1108.0,874.5,0.0
7760,75.0,529.0,138.0,86.0,1.0,1107.0,737.5,0.0
7761,75.0,470.0,184.0,86.0,1.0,1097.0,754.5,0.0
7762,74.0,445.0,202.0,85.0,0.0,1068.0,729.0,0.0
7763,75.0,460.0,213.0,86.0,0.0,1088.0,666.5,0.0
7764,75.0,473.0,175.0,86.0,0.0,1086.0,689.5,0.0
7765,75.0,462.0,190.0,86.0,1.0,1091.0,705.5,0.0
7766,75.0,485.0,201.0,86.0,1.0,1129.0,704.5,0.0
7767,76.0,498.0,177.0,86.0,1.0,1114.0,735.5,0.0
7768,84.0,496.0,158.0,86.0,1.0,1093.0,759.5,0.0
7769,86.0,509.0,94.0,87.0,4.0,1050.0,788.5,0.0
7770,86.0,511.0,61.0,87.0,2.0,1010.0,703.0,0.0
7771,87.0,385.0,82.0,87.0,2.0,947.0,659.5,0.0
7772,87.0,358.0,0.0,87.0,1.0,854.0,633.0,0.0
7773,87.0,336.0,0.0,87.0,2.0,766.0,534.0,0.0
7774,86.0,328.0,0.0,87.0,2.0,696.0,367.0,0.0
7775,85.0,328.0,0.0,87.0,1.0,663.0,245.0,0.0
7776,85.0,331.0,0.0,86.0,2.0,647.0,210.5,0.0
7777,85.0,330.0,0.0,86.0,4.0,642.0,204.5,0.0
7778,85.0,330.0,0.0,86.0,4.0,651.0,272.5,0.0
7779,85.0,329.0,0.0,86.0,1.0,698.0,335.5,0.0
7780,85.0,376.0,0.0,86.0,1.0,825.0,149.5,0.0
7781,87.0,462.0,91.0,86.0,1.0,970.0,431.5,0.0
7782,90.0,529.0,3.0,86.0,3.0,1063.0,546.5,0.0
7783,90.0,456.0,131.0,85.0,4.0,1109.0,597.5,0.0
7784,90.0,447.0,96.0,85.0,3.0,1106.0,601.5,0.0
7785,90.0,454.0,110.0,85.0,3.0,1092.0,593.0,0.0
7786,90.0,450.0,95.0,86.0,2.0,1063.0,579.0,0.0
7787,90.0,450.0,91.0,86.0,4.0,1089.0,610.5,0.0
7788,90.0,493.0,46.0,86.0,3.0,1091.0,646.5,0.0
7789,90.0,542.0,16.0,86.0,3.0,1091.0,621.0,0.0
7790,90.0,542.0,30.0,86.0,3.0,1122.0,609.5,0.0
7791,91.0,542.0,96.0,86.0,3.0,1111.0,609.5,0.0
7792,91.0,542.0,163.0,86.0,3.0,1094.0,608.5,0.0
7793,90.0,544.0,10.0,87.0,1.0,1050.0,626.5,0.0
7794,91.0,545.0,0.0,87.0,0.0,1017.0,608.0,0.0
7795,88.0,548.0,0.0,87.0,0.0,953.0,533.5,0.0
7796,86.0,555.0,0.0,87.0,0.0,861.0,453.5,0.0
7797,86.0,554.0,0.0,86.0,0.0,777.0,366.5,0.0
7798,85.0,554.0,0.0,86.0,0.0,707.0,432.0,0.0
7799,82.0,433.0,0.0,86.0,0.0,672.0,440.0,0.0
7800,82.0,426.0,0.0,86.0,0.0,657.0,490.0,0.0
7801,82.0,426.0,0.0,86.0,0.0,651.0,479.5,0.0
7802,82.0,426.0,0.0,86.0,0.0,659.0,479.5,0.0
7803,82.0,427.0,0.0,85.0,0.0,706.0,459.5,0.0
7804,83.0,545.0,1.0,85.0,0.0,833.0,360.0,0.0
7805,87.0,553.0,48.0,85.0,0.0,986.0,574.5,0.0
7806,89.0,554.0,289.0,85.0,1.0,1075.0,599.0,0.0
7807,89.0,557.0,372.0,85.0,1.0,1120.0,607.5,0.0
7808,89.0,561.0,359.0,85.0,1.0,1120.0,589.5,0.0
7809,89.0,560.0,356.0,85.0,0.0,1110.0,558.0,0.0
7810,89.0,559.0,317.0,85.0,0.0,1075.0,561.0,0.0
7811,89.0,558.0,357.0,85.0,1.0,1104.0,563.0,0.0
7812,89.0,558.0,357.0,85.0,4.0,1105.0,564.5,0.0
7813,90.0,559.0,352.0,86.0,4.0,1111.0,579.5,0.0
7814,90.0,559.0,454.0,86.0,4.0,1143.0,518.0,0.0
7815,90.0,559.0,501.0,86.0,4.0,1125.0,503.5,0.0
7816,91.0,559.0,642.0,86.0,4.0,1095.0,366.5,0.0
7817,91.0,560.0,475.0,87.0,2.0,1045.0,435.5,0.0
7818,91.0,560.0,254.0,87.0,2.0,1008.0,510.5,0.0
7819,91.0,555.0,184.0,87.0,2.0,949.0,523.5,0.0
7820,90.0,554.0,34.0,87.0,2.0,859.0,514.0,0.0
7821,90.0,554.0,36.0,87.0,1.0,777.0,586.5,0.0
