,biomass,gas,hard_coal,hydro,lignite,nuclear,solar,wind_onshore,demand,s_l,s_r
160,25.0,1027.0,240.0,1795.0,2056.0,1407.0,4.0,887.0,6833.0,0.0,245.22999999999956
161,26.0,1029.0,242.0,1861.0,2056.0,1406.0,0.0,882.0,6821.0,0.0,240.85000000000014
162,25.0,1028.0,250.0,1917.0,2144.0,1406.0,0.0,761.0,6719.0,0.0,264.78
163,26.0,1028.0,248.0,1839.0,2117.0,1406.0,0.0,809.0,6501.0,0.0,277.13000000000034
164,25.0,1028.0,236.0,1594.0,2107.0,1405.0,0.0,743.0,6083.0,0.0,299.48999999999955
165,26.0,1029.0,234.0,1539.0,2140.0,1405.0,0.0,567.0,5708.0,0.0,314.8200000000004
166,25.0,1009.0,230.0,1630.0,2067.0,1405.0,0.0,454.0,5436.0,0.0,367.3699999999999
167,25.0,1006.0,239.0,1391.0,1889.0,1405.0,0.0,371.0,5259.0,0.0,319.5499999999997
168,24.0,988.0,226.0,1247.0,1857.0,1404.0,0.0,346.0,5099.0,0.0,301.5999999999998
169,24.0,982.0,233.0,1312.0,1715.0,1404.0,0.0,305.0,5099.0,0.0,277.9000000000003
170,24.0,979.0,233.0,1314.0,1646.0,1403.0,0.0,310.0,5159.0,0.0,245.3699999999999
171,24.0,1033.0,236.0,1289.0,1638.0,1404.0,0.0,371.0,5419.0,0.0,211.69999999999982
172,36.0,1108.0,236.0,1322.0,1761.0,1405.0,0.0,330.0,6040.0,0.0,41.34000000000026
173,40.0,1145.0,234.0,1750.0,1844.0,1404.0,0.0,458.0,6841.0,0.0,183.92000000000007
174,46.0,1177.0,248.0,1986.0,2228.0,1405.0,9.0,415.0,7466.0,0.0,257.02000000000044
175,47.0,1213.0,263.0,2083.0,2417.0,1368.0,73.0,318.0,7807.0,0.0,340.3700000000008
176,48.0,1273.0,274.0,2197.0,2448.0,1369.0,155.0,262.0,7800.0,0.0,420.8299999999999
177,46.0,1459.0,267.0,2082.0,2414.0,1381.0,241.0,147.0,7678.0,0.0,398.5599999999995
178,50.0,1608.0,255.0,2016.0,2366.0,1349.0,281.0,72.0,7565.0,0.0,429.8700000000008
179,52.0,1870.0,238.0,1760.0,2325.0,1377.0,282.0,57.0,7509.0,0.0,474.9599999999991
180,51.0,1952.0,243.0,1706.0,2279.0,1369.0,241.0,38.0,7373.0,0.0,474.8699999999999
181,49.0,1876.0,235.0,1871.0,2271.0,1373.0,131.0,39.0,7315.0,0.0,515.1599999999999
182,50.0,1950.0,241.0,1938.0,2263.0,1322.0,31.0,51.0,7426.0,0.0,463.77000000000044
183,51.0,1962.0,245.0,1967.0,2281.0,1336.0,5.0,96.0,7938.0,0.0,398.1299999999992
184,50.0,1960.0,242.0,1921.0,2336.0,1391.0,0.0,116.0,8019.0,0.0,361.0
185,43.0,1963.0,235.0,1944.0,2269.0,1395.0,0.0,91.0,7903.0,0.0,399.9500000000007
186,37.0,1958.0,235.0,1946.0,2183.0,1394.0,0.0,63.0,7703.0,0.0,407.9899999999998
187,37.0,1892.0,233.0,1884.0,2153.0,1393.0,0.0,68.0,7268.0,0.0,364.9300000000003
188,44.0,1827.0,233.0,1806.0,2063.0,1394.0,0.0,53.0,6719.0,0.0,372.33000000000015
189,48.0,1757.0,235.0,1444.0,2035.0,1393.0,0.0,55.0,6185.0,0.0,336.5400000000002
