,biomass,gas,hard_coal,hydro,lignite,nuclear,other_fossil,other_renewable,solar,wind_onshore,demand,s_l,s_r
90,258.09,279.83,538.58,688.1,4233.67,2441.21,374.45,282.9,0.0,129.33,9079.0,66.23000000000047,0.0
91,257.5,278.22,526.26,471.02,4225.58,2437.71,377.81,283.35,0.0,111.41,8784.0,67.23999999999978,0.0
92,256.72,266.49,527.16,225.97,4214.3,2437.78,368.82,280.37,0.0,89.68,8266.0,62.4399999999996,0.0
93,257.16,254.28,519.11,168.74,3925.12,2433.71,348.6,274.21,0.0,85.75,7780.0,60.70999999999913,0.0
94,256.65,237.41,513.3,122.45,3498.05,2433.05,321.97,273.36,0.0,115.56,7381.0,0.0,76.61000000000104
95,257.54,236.5,515.76,114.79,2961.71,2432.73,330.98,271.17,0.0,168.07,7053.0,0.0,1076.7099999999996
96,256.36,233.82,511.39,114.68,2698.16,2433.61,328.88,271.02,0.0,196.36,7142.0,0.0,1078.6200000000008
97,255.71,236.97,513.42,114.59,2675.26,2431.24,331.14,271.66,0.0,204.55,7058.0,0.0,1068.8499999999992
98,255.74,238.68,520.81,114.49,2708.25,2432.9,331.37,271.17,0.0,201.4,6942.0,0.0,1061.9499999999998
99,255.77,240.67,518.69,114.34,2721.17,2431.01,333.24,271.26,0.0,185.53,7084.0,0.0,1048.6799999999994
100,256.26,247.88,514.66,114.33,3067.93,2429.88,348.36,271.69,0.0,177.99,7555.0,0.0,555.7399999999993
101,259.27,275.11,517.92,124.14,3628.47,2428.4,366.08,278.85,0.0,187.52,8667.0,33.849999999999454,0.0
102,268.54,284.17,524.24,291.83,3957.66,2431.52,371.43,278.07,0.45,186.35,9143.0,49.6200000000008,0.0
103,268.67,282.52,543.16,249.34,4016.37,2433.41,375.5,280.04,33.54,180.32,9155.0,47.33999999999878,0.0
104,268.63,281.28,538.01,393.75,3991.09,2433.92,372.87,279.05,178.5,163.63,9242.0,57.29000000000042,0.0
105,268.64,275.7,538.26,330.98,4004.62,2434.37,371.0,278.97,278.38,136.55,9168.0,71.89000000000169,0.0
106,267.59,266.9,540.53,220.58,3951.44,2431.31,367.44,278.95,262.78,128.91,9125.0,52.350000000000364,0.0
107,259.54,275.37,552.5,161.65,3993.53,2429.5,384.05,281.27,189.86,134.46,9268.0,54.680000000000746,0.0
108,268.84,282.52,553.66,306.52,4058.83,2424.96,387.53,281.82,126.35,128.61,9271.0,51.009999999997945,0.0
