,biomass,gas,hard_coal,hydro,lignite,nuclear,other_fossil,other_renewable,solar,wind_onshore,FR -> ES,PT -> ES,demand,ES -> FR,ES -> PT,mismatch
3729,356.0,6382.0,4525.0,7835.0,418.0,4057.0,551.0,111.0,2379.0,2296.0,1030.38,2811.52,32006.0,0.0,0.0,745.9000000000015
3730,0.0,2352.0,2660.0,4970.0,217.0,998.0,136.0,4.0,145.0,736.0,1968.28,2753.12,32095.0,0.0,0.0,-15155.599999999999
3731,350.0,6406.0,4545.0,5726.0,415.0,4057.0,552.0,108.0,2544.0,2589.0,2269.32,1966.47,32115.0,0.0,0.0,-587.2099999999991
3732,359.0,6444.0,4519.0,5316.0,419.0,4057.0,554.0,112.0,2433.0,2577.0,2292.66,1654.51,31132.0,0.0,0.0,-394.83000000000175
3733,357.0,6443.0,4511.0,5210.0,412.0,4055.0,593.0,114.0,2254.0,2735.0,2270.26,1781.64,30659.0,0.0,0.0,76.90000000000146
3734,357.0,6384.0,4492.0,4765.0,406.0,4054.0,587.0,111.0,2015.0,3035.0,2244.62,1556.1,30355.0,0.0,0.0,-348.27999999999884
3735,356.0,6412.0,4535.0,5220.0,401.0,4055.0,589.0,112.0,1650.0,3119.0,939.63,2321.13,30220.0,0.0,0.0,-510.23999999999796
3736,359.0,6501.0,4515.0,5530.0,402.0,4055.0,597.0,112.0,1150.0,3353.0,728.43,2991.15,29726.0,0.0,0.0,567.5800000000017
3737,356.0,6524.0,4473.0,5621.0,398.0,4054.0,593.0,110.0,667.0,3435.0,2145.52,2667.91,29646.0,0.0,0.0,1398.4300000000003
3738,360.0,6512.0,4457.0,5480.0,414.0,4055.0,608.0,110.0,284.0,3437.0,2284.92,2813.78,29985.0,0.0,0.0,830.7000000000007
3739,360.0,6489.0,4469.0,6267.0,407.0,4056.0,601.0,110.0,71.0,3139.0,2249.98,2695.24,30381.0,0.0,0.0,533.2200000000012
3740,360.0,6526.0,4380.0,5487.0,401.0,4057.0,591.0,111.0,55.0,3153.0,2051.04,1467.54,29339.0,0.0,0.0,-699.4199999999983
3741,357.0,6574.0,4215.0,4484.0,411.0,4057.0,596.0,109.0,54.0,3135.0,2127.46,1218.23,26891.0,0.0,0.0,446.6899999999987
