,biomass,gas,hard_coal,hydro,lignite,nuclear,other_fossil,other_renewable,solar,CZ -> SK,HU -> SK,PL -> SK,demand,SK -> CZ,SK -> HU,SK -> PL,mismatch
86,30.7,185.6,63.1,865.87,106.7,1896.4,476.0,36.7,35.5,933.83,0.0,344.5,3734.5,0.0,921.49,0.0,318.9099999999996
87,29.9,188.4,62.9,963.13,106.7,1896.7,477.3,36.5,5.6,1036.98,0.0,272.0,3860.02,0.0,997.7,0.0,218.39000000000055
88,30.3,192.4,64.3,1132.96,107.7,1897.3,480.8,35.1,1.0,982.15,0.0,302.9,3865.62,0.0,1045.75,0.0,315.53999999999996
89,30.4,192.1,63.4,1224.49,107.0,1897.1,481.2,36.6,0.9,920.9,0.0,316.6,3819.85,0.0,1044.78,0.0,406.0599999999997
90,30.3,187.0,62.4,1222.2,105.5,1897.2,480.0,38.3,0.1,985.18,0.0,364.7,3764.53,0.0,1059.12,0.0,549.23
91,30.1,185.9,62.0,1079.09,103.5,1896.7,479.9,37.6,0.0,1125.13,0.0,436.9,3694.85,0.0,1065.27,0.0,676.6999999999998
92,30.1,194.1,64.4,780.43,106.0,1896.3,484.5,37.2,0.0,1006.38,0.0,406.7,3535.51,0.0,1111.28,0.0,359.3199999999995
93,30.3,196.8,65.3,787.68,105.7,1900.3,484.8,37.7,0.0,1072.35,0.0,483.5,3360.11,0.0,1269.97,0.0,534.3500000000001
94,30.0,195.6,62.2,730.12,105.7,1903.6,481.5,37.9,0.0,1007.65,0.0,546.0,3206.02,0.0,1327.07,0.0,567.1800000000005
95,30.6,191.5,60.2,727.29,104.3,1904.7,478.0,37.0,0.0,1044.45,0.0,605.8,3092.95,0.0,1207.13,0.0,883.7600000000002
96,30.1,192.3,59.6,698.42,103.1,1906.6,479.4,36.9,0.0,1066.08,0.0,617.2,2981.54,0.0,1159.1,0.0,1049.06
97,29.4,193.9,60.6,699.04,103.5,1907.1,481.3,37.0,0.0,1056.75,0.0,631.3,2942.58,0.0,1198.4,0.0,1058.9100000000003
98,29.8,193.0,60.6,701.23,103.2,1906.5,481.5,35.1,0.0,1072.1,0.0,620.9,2946.94,0.0,1187.54,0.0,1069.4500000000003
99,29.4,192.4,60.4,703.19,102.7,1906.4,483.1,35.5,0.0,1072.95,0.0,612.7,3038.74,0.0,1174.83,0.0,985.1700000000001
100,29.4,194.0,61.6,705.56,103.5,1904.4,485.8,35.4,0.0,1046.5,0.0,575.6,3172.08,0.0,1241.8,0.0,727.8800000000003
101,29.6,190.8,60.4,701.1,103.3,1903.4,488.0,35.9,0.0,1163.53,0.0,583.8,3469.43,0.0,1244.85,0.0,545.5500000000002
102,28.9,190.0,62.2,753.42,102.7,1900.7,487.6,35.6,0.0,1062.28,0.0,467.7,3633.5,0.0,1030.81,0.0,426.7900000000004
103,29.6,193.8,63.9,789.59,103.9,1902.3,491.0,36.6,0.1,1093.2,0.0,520.5,3772.69,0.0,1015.43,0.0,436.3699999999998
104,29.8,194.1,64.6,835.52,104.1,1900.7,496.2,35.9,5.9,1082.58,0.0,576.9,3860.91,0.0,1100.18,0.0,365.20999999999935
105,28.8,192.8,63.6,950.11,103.7,1902.0,492.0,34.3,26.9,1001.1,0.0,630.8,3860.36,0.0,1113.55,0.0,452.2000000000005
106,29.2,194.1,63.9,963.66,103.7,1901.2,491.7,33.2,43.2,1047.33,0.0,637.7,3911.0,0.0,1077.21,0.0,520.6799999999994
107,30.2,192.4,63.6,903.34,103.3,1903.4,488.4,35.3,49.4,963.73,0.0,584.1,3897.1,0.0,1011.45,0.0,408.6200000000001
108,29.7,196.1,64.7,914.38,104.4,1903.8,487.2,35.1,49.6,922.9,0.0,608.6,3883.73,0.0,1029.95,0.0,402.7999999999995
109,30.6,197.5,65.3,939.86,104.5,1903.3,490.3,36.4,35.9,740.75,0.0,576.7,3820.64,0.0,890.76,0.0,409.7100000000007
110,30.4,191.3,63.3,962.33,103.6,1901.9,487.3,37.1,18.9,731.28,0.0,525.8,3800.73,0.0,915.37,0.0,337.11
111,29.0,187.9,62.6,1051.72,103.2,1900.8,486.8,34.5,4.0,786.03,0.0,468.8,3923.69,0.0,901.59,0.0,290.0700000000003
112,29.4,191.9,63.8,1150.91,103.5,1898.2,491.2,37.3,0.7,678.83,0.0,438.2,3903.03,0.0,892.68,0.0,288.22999999999945
113,29.4,184.0,61.3,1207.6,101.5,1897.0,489.1,37.7,0.7,484.85,0.0,320.4,3855.3,0.0,777.95,0.0,180.29999999999905
114,28.6,182.8,61.1,1248.56,101.5,1897.6,488.9,36.3,0.1,470.83,0.0,327.6,3820.35,0.0,726.31,0.0,297.2300000000005
115,29.7,187.3,62.1,1122.98,102.1,1900.4,489.8,39.2,0.0,465.63,0.0,404.0,3723.24,0.0,714.91,0.0,365.0600000000003
116,30.0,187.0,62.1,972.1,102.5,1898.6,487.6,37.6,0.0,587.3,0.0,520.8,3537.81,0.0,989.24,0.0,358.5500000000004
117,29.7,190.9,63.8,941.295,103.8,1899.6,473.5,37.0,0.0,669.3,0.0,732.5,3371.84,0.0,1258.79,0.0,510.7649999999994
118,29.7,189.2,59.5,884.25,102.4,1899.1,462.5,38.1,0.0,653.53,0.0,540.0,3252.49,0.0,1230.42,0.0,375.3699999999999
119,29.4,192.0,60.9,887.16,104.1,1899.9,467.3,38.3,0.0,364.05,0.0,307.9,3084.75,0.0,991.81,0.0,274.4500000000003
120,29.3,187.3,59.1,877.54,103.1,1897.7,460.5,37.5,0.0,121.73,0.0,303.9,2959.65,0.0,894.14,0.0,223.88
121,29.8,186.6,59.2,870.08,102.9,1896.8,460.2,35.1,0.0,98.95,0.0,279.3,2901.04,0.0,817.5,0.0,300.3899999999999
122,29.8,183.2,58.1,871.18,102.3,1895.8,459.1,37.0,0.0,184.28,0.0,287.5,2890.51,0.0,785.63,0.0,432.12
123,29.6,181.7,57.4,844.34,101.4,1893.8,457.5,35.8,0.0,274.98,0.0,311.8,2904.86,0.0,816.07,0.0,467.38999999999953
124,30.0,182.0,57.1,811.82,101.5,1894.3,457.9,37.1,0.0,508.93,0.0,376.3,2914.6,0.0,985.01,0.0,557.3400000000008
125,30.0,176.3,55.0,806.36,100.9,1890.7,456.8,36.1,0.0,640.0,0.0,412.7,3003.92,0.0,1121.78,0.0,479.16000000000054
126,29.6,173.3,56.8,827.24,100.9,1890.1,455.5,36.0,0.0,643.9,0.0,481.4,3057.84,0.0,1202.23,0.0,434.6699999999996
127,29.6,167.8,54.5,863.77,99.5,1885.7,452.5,37.5,0.1,686.63,0.0,499.9,3187.99,0.0,1124.59,0.0,464.9200000000003
128,29.3,166.2,54.0,874.96,98.7,1885.6,462.6,38.3,6.7,686.78,0.0,636.3,3364.11,0.0,1170.89,0.0,404.4400000000003
129,24.6,169.3,56.9,920.57,103.2,1889.3,471.1,39.5,26.7,749.0,0.0,643.9,3445.21,0.0,1203.59,0.0,445.26999999999975
130,20.5,173.8,59.9,915.93,125.6,1894.2,475.7,39.1,43.9,776.48,0.0,660.7,3558.0,0.0,1203.25,0.0,424.5599999999995
131,20.9,175.0,61.3,900.52,150.5,1895.6,477.5,39.9,41.7,750.38,0.0,640.5,3503.67,0.0,1234.62,0.0,415.5099999999993
132,22.7,180.5,62.3,898.96,174.0,1895.6,479.6,38.4,48.9,563.0,0.0,543.5,3405.2,0.0,1068.9,0.0,433.3600000000001
133,22.4,174.8,58.3,875.73,190.1,1887.9,471.7,39.6,34.4,371.65,0.0,505.3,3321.21,0.0,910.37,0.0,400.30000000000007
