,biomass,gas,hydro,oil,other_fossil,other_renewable,solar,waste,wind_onshore,demand,mismatch
5209,57.6,1.0,3.5,927.0,0.0,7.3,0.7,15.9,67.8,591.94,488.8599999999999
5210,59.0,1.0,3.5,932.1,4.9,7.3,0.7,15.6,77.5,587.82,513.7799999999999
5211,58.3,1.0,3.5,1000.9,0.0,7.3,0.7,16.4,50.1,673.17,465.0300000000001
5212,57.8,1.0,3.5,1012.1,4.9,7.3,0.7,16.4,37.5,795.61,345.59000000000026
5213,58.6,2.7,3.5,1061.2,0.0,7.3,0.7,16.4,38.1,912.62,275.88
5214,58.7,2.6,3.5,1022.4,5.0,7.3,0.7,16.4,54.7,969.03,202.2700000000002
5215,58.9,2.6,3.5,1098.0,5.1,7.3,0.7,16.3,64.3,991.89,264.80999999999983
5216,58.2,2.6,3.5,1103.0,0.0,7.4,0.7,16.8,66.1,1002.67,255.63
5217,58.2,2.6,3.5,1093.7,0.0,7.4,0.7,17.0,79.0,997.58,264.5200000000001
5218,57.6,2.6,3.5,1038.8,0.0,7.4,0.7,16.9,89.0,1011.38,205.12000000000023
5219,57.4,2.6,3.5,1012.1,0.0,7.4,0.7,17.2,99.5,995.67,204.73000000000013
5220,57.7,2.6,3.5,1001.1,4.9,7.4,0.7,16.5,100.7,980.17,214.9300000000004
5221,56.9,2.6,3.5,1003.1,4.9,7.4,0.7,16.0,118.7,950.13,263.6700000000002
5222,57.3,2.6,3.5,1014.8,4.9,7.4,0.7,16.2,129.0,934.32,302.08000000000027
5223,57.9,2.6,3.5,1094.8,5.0,7.4,0.7,15.9,155.8,922.01,421.59000000000015
5224,58.7,1.0,3.5,1085.2,5.0,7.4,0.7,16.6,149.8,902.72,425.18000000000006
5225,59.0,1.0,3.5,1033.6,0.0,7.4,0.7,17.6,129.7,871.15,381.35
5226,59.5,1.0,3.5,1010.5,5.1,7.4,0.7,18.1,127.1,854.25,378.64999999999986
5227,59.6,1.0,3.5,1008.6,5.1,7.4,0.7,17.5,128.5,848.08,383.82000000000005
5228,59.9,1.0,3.5,1001.7,5.1,7.4,0.7,16.9,115.8,768.98,443.0200000000002
5229,59.2,1.0,3.5,1004.2,0.0,7.4,0.7,17.2,86.3,700.83,478.6700000000002
5230,59.2,1.0,3.5,1065.7,0.0,7.4,0.7,17.8,84.4,662.14,577.5600000000003
5231,59.0,1.0,3.5,1089.5,5.0,7.4,0.7,18.0,79.9,643.78,620.2200000000003
5232,57.0,1.0,3.5,1089.85,2.5,7.4,0.7,18.0,68.35,636.2,612.0999999999999
5233,55.0,1.0,3.5,1090.2,0.0,7.4,0.7,18.0,56.8,635.24,597.3600000000001
5234,57.0,1.0,3.5,1089.2,0.0,7.4,0.7,18.0,47.3,624.95,599.1500000000001
5235,56.7,1.0,3.5,1091.5,4.6,7.4,0.7,16.8,34.4,711.0,505.60000000000014
5236,56.4,1.0,3.5,1089.9,4.6,7.4,0.7,15.9,26.7,823.29,382.8100000000004
5237,58.0,2.4,3.5,1062.6,0.0,7.4,0.7,16.4,43.8,921.24,273.5600000000002
5238,58.6,2.7,3.5,1025.9,5.1,7.4,0.7,17.0,43.7,987.13,177.47000000000014
5239,58.7,2.7,3.5,1044.0,0.0,7.4,0.7,17.5,30.9,1003.9,161.50000000000034
5240,58.5,2.7,3.5,1022.9,5.0,7.4,0.7,17.3,24.1,1006.27,135.82999999999993
5241,58.8,2.7,3.5,992.6,5.1,7.3,0.7,16.5,31.6,991.9,126.89999999999975
5242,58.6,2.7,3.5,989.2,0.0,7.3,0.7,17.2,35.4,1012.01,102.59000000000015
5243,58.6,2.7,3.5,991.5,5.1,7.3,0.7,16.0,33.2,1000.37,118.2299999999999
5244,58.8,2.7,3.5,988.0,0.0,7.3,0.7,15.0,33.2,994.61,114.59000000000003
5245,57.8,2.7,3.5,991.3,5.0,7.3,0.7,16.5,33.1,970.76,147.13999999999987
5246,58.1,2.7,3.5,993.7,0.0,7.3,0.7,16.5,30.0,947.38,165.12
5247,59.3,2.7,3.5,1003.7,5.1,7.3,0.7,15.8,27.4,926.74,198.76
5248,59.1,1.0,3.5,1011.6,5.1,7.3,0.7,17.3,22.6,905.8,222.39999999999986
5249,59.3,1.0,3.5,1000.4,0.0,7.3,0.7,17.6,18.1,878.67,229.2299999999999
5250,59.2,1.0,3.5,989.4,0.0,7.3,0.7,17.9,19.9,860.89,238.0100000000001
5251,59.5,1.0,3.5,993.8,0.0,7.3,0.7,17.6,20.4,852.18,251.62
5252,59.9,1.0,3.5,1038.6,5.1,7.3,0.7,17.1,20.8,761.52,392.4799999999998
5253,59.1,1.0,3.5,1075.5,0.0,7.3,0.7,16.3,23.8,694.14,493.05999999999983
5254,59.5,1.0,3.5,1008.0,0.0,7.3,0.7,18.3,25.5,660.49,463.30999999999995
5255,59.5,1.0,3.5,1001.9,0.0,7.3,0.7,18.2,27.5,644.62,474.98000000000013
5256,57.4,1.0,3.5,1002.15,2.15,7.3,0.7,18.35,24.95,635.69,481.80999999999995
5257,55.3,1.0,3.5,1002.4,4.3,7.3,0.7,18.5,22.4,634.62,480.7800000000001
5258,57.1,1.0,3.5,1005.1,4.6,7.3,0.7,17.4,18.4,626.83,488.2700000000001
5259,56.9,1.0,3.5,1015.3,4.6,7.3,0.7,16.9,16.5,707.16,415.5400000000001
5260,57.7,1.0,3.5,1084.9,4.8,7.3,0.7,16.6,14.0,821.31,369.19000000000005
5261,59.2,2.6,3.5,1055.7,5.1,7.3,0.7,17.1,12.7,930.45,233.44999999999982
5262,58.7,2.7,3.5,1036.0,5.1,7.3,0.7,17.2,9.3,992.02,148.48000000000002
5263,58.7,2.7,3.5,1036.5,5.0,7.3,0.7,17.2,9.6,1007.65,133.55000000000007
5264,58.9,2.7,3.5,1038.4,5.1,7.3,0.7,16.9,12.8,1013.31,132.99
5265,58.9,2.7,3.5,1035.3,0.0,7.3,0.7,17.3,15.1,1003.46,137.3399999999997
5266,58.7,2.7,3.5,1027.0,5.0,7.3,0.7,17.3,16.4,1025.84,112.76000000000022
5267,59.2,2.7,3.5,1012.0,5.1,7.3,0.7,16.7,16.7,1008.24,115.66000000000008
5268,58.3,2.7,3.5,1004.2,0.0,7.3,0.7,16.2,16.8,996.03,113.67000000000007
5269,58.4,2.7,3.5,995.6,5.0,7.3,0.7,16.8,16.9,978.34,128.56000000000006
5270,58.7,2.7,3.5,985.7,0.0,7.2,0.7,17.1,16.5,957.03,135.07000000000016
5271,59.0,2.7,3.5,991.3,5.1,7.1,0.7,17.3,17.4,940.14,163.95999999999992
5272,59.1,1.0,3.5,1007.6,5.1,7.1,0.7,17.2,17.1,916.5,201.89999999999986
5273,59.5,1.0,3.5,995.2,5.1,7.1,0.7,17.2,23.3,896.94,215.65999999999985
5274,58.8,1.0,3.5,999.3,5.1,7.1,0.7,17.1,42.3,886.72,248.1799999999996
5275,58.9,1.0,3.5,992.7,0.0,7.1,0.7,16.8,69.7,882.96,267.44000000000005
5276,59.4,1.0,3.5,1043.4,5.1,7.1,0.7,16.0,82.1,794.97,423.3299999999999
5277,58.7,1.0,3.5,1083.8,5.0,7.1,0.7,15.9,110.0,721.22,564.48
5278,58.9,1.0,3.5,917.7,0.0,7.0,0.7,16.2,137.5,683.4,459.1
5279,57.6,1.0,3.5,911.2,5.0,7.0,0.7,15.9,142.7,660.14,484.46000000000015
5280,56.0,1.0,3.5,913.3,2.5,7.0,0.7,16.25,136.55,653.26,483.53999999999996
5281,54.4,1.0,3.5,915.4,0.0,7.0,0.7,16.6,130.4,652.88,476.12
5282,56.3,1.0,3.5,915.7,0.0,7.0,0.7,16.9,113.3,643.55,470.85000000000014
5283,56.6,1.0,3.5,913.0,0.0,7.0,0.7,16.9,111.5,717.17,393.0300000000001
5284,57.3,1.0,3.5,999.1,0.0,7.0,0.7,16.4,94.0,842.7,336.3000000000002
5285,58.4,2.7,3.5,1085.9,0.0,7.0,0.7,17.1,81.6,956.53,300.3699999999999
5286,58.4,2.7,3.5,1088.6,5.0,7.0,0.7,16.6,83.9,1023.96,242.43999999999983
5287,58.1,2.7,3.5,1093.5,4.9,7.0,0.7,16.8,92.8,1043.7,236.29999999999995
5288,55.0,2.7,3.5,1094.3,0.0,7.0,0.7,16.4,113.3,1056.71,236.19000000000005
5289,52.9,2.7,3.5,1069.8,0.0,7.0,0.7,14.8,127.9,1047.64,231.65999999999985
5290,52.8,2.6,3.5,1072.0,4.2,7.0,0.7,16.9,129.5,1066.26,222.94000000000028
5291,53.2,2.0,3.5,1087.3,4.2,7.0,0.7,16.5,132.8,1053.94,253.26
5292,51.1,2.7,3.5,1086.6,4.0,7.1,0.7,16.0,149.5,1042.59,278.6099999999999
5293,49.6,2.7,3.5,1087.2,0.0,7.1,0.7,16.1,136.4,1018.62,284.67999999999995
5294,49.7,2.7,3.5,1086.1,48.6,7.1,0.7,16.5,97.8,993.78,318.91999999999985
5295,50.7,2.7,3.5,1088.1,4.0,7.1,0.7,16.4,62.5,974.63,261.07000000000005
5296,53.5,1.0,3.5,1086.4,0.0,7.1,0.7,16.5,43.1,946.28,265.52
5297,38.7,1.0,3.5,1089.3,0.0,7.1,0.7,16.6,32.9,924.26,265.53999999999996
5298,45.1,1.0,3.5,1084.8,2.9,7.1,0.7,16.7,37.1,907.95,290.9499999999998
5299,54.1,1.0,3.5,1083.0,0.0,7.1,0.7,16.6,57.7,902.97,320.7299999999998
5300,56.1,1.0,3.5,1090.2,0.0,7.1,0.7,16.4,82.1,813.39,443.7099999999999
5301,56.3,1.0,3.5,1085.8,4.7,7.1,0.7,16.7,106.3,738.25,543.8499999999999
5302,56.5,1.0,3.5,1084.4,4.7,7.2,0.7,17.0,113.1,697.41,590.6900000000002
5303,56.1,1.0,3.5,946.4,0.0,7.3,0.7,17.0,117.9,670.23,479.6700000000001
5304,55.05,1.0,3.5,879.6,2.1,7.3,0.7,16.85,132.95,659.85,439.19999999999993
5305,54.0,1.0,3.5,812.8,4.2,7.3,0.7,16.7,148.0,658.34,389.86
5306,55.2,1.0,3.5,833.6,4.4,7.3,0.7,17.2,148.6,646.4,425.1
5307,55.2,1.0,3.5,1016.0,4.4,7.3,0.7,16.8,141.0,730.32,515.58
5308,56.5,1.0,3.5,1080.2,4.6,7.3,0.7,16.4,134.9,852.72,452.3800000000001
5309,58.7,2.7,3.5,1065.0,5.0,7.3,0.7,17.1,128.0,971.36,316.64
5310,58.6,2.7,3.5,1073.9,0.0,7.3,0.7,17.2,133.2,1032.3,264.8000000000002
5311,57.7,2.7,3.5,1092.5,0.0,7.3,0.7,17.3,155.0,1047.23,289.47
5312,55.3,2.7,3.5,1071.7,4.7,7.3,0.7,17.4,171.6,1057.88,277.02
5313,55.5,2.7,3.5,912.4,4.7,7.3,0.7,17.6,164.3,1042.63,126.06999999999994
5314,54.7,2.7,3.5,901.6,0.0,7.3,0.7,17.2,170.4,1063.21,94.8900000000001
5315,52.8,2.7,3.5,897.0,0.0,7.3,0.7,16.9,160.6,1049.46,92.03999999999996
5316,52.1,2.7,3.5,898.4,0.0,7.3,0.7,16.8,145.8,1030.87,96.43000000000006
5317,51.6,2.7,3.5,895.8,0.0,7.3,0.7,17.2,143.1,999.84,122.05999999999983
5318,52.2,2.7,3.5,840.8,0.0,7.3,0.7,17.6,144.0,977.08,91.71999999999991
5319,54.9,2.7,3.5,861.4,4.3,7.3,0.7,16.6,98.4,947.98,101.81999999999994
5320,56.8,1.0,3.5,892.5,0.0,7.3,0.7,16.5,76.0,918.03,136.26999999999998
5321,56.5,1.0,3.5,891.3,4.6,7.3,0.7,16.7,71.2,896.47,156.32999999999993
5322,57.7,1.0,3.5,881.0,0.0,7.3,0.7,16.5,81.3,873.07,175.92999999999995
5323,59.0,1.0,3.5,903.4,5.0,7.3,0.7,16.1,88.7,871.63,213.07000000000005
5324,60.0,1.0,3.5,899.1,5.1,7.3,0.7,15.8,99.2,785.04,306.6600000000001
5325,59.4,1.0,3.5,861.9,0.0,7.3,0.7,16.7,107.9,723.99,334.4100000000001
5326,58.8,1.0,3.5,557.9,0.0,7.3,0.7,15.1,93.9,689.94,48.25999999999988
5327,58.6,1.0,3.5,532.9,0.0,7.3,0.7,15.5,91.5,662.62,48.379999999999995
5328,56.85,1.0,3.5,437.2,0.0,7.2,0.7,16.25,76.0,649.74,-51.039999999999964
5329,55.1,1.0,3.5,341.5,0.0,7.1,0.7,17.0,60.5,645.5,-159.09999999999997
5330,57.2,1.0,3.5,331.4,4.6,7.1,0.7,17.0,64.1,617.13,-130.52999999999997
