,biomass,gas,hard_coal,hydro,other_fossil,solar,wind_onshore,ES -> PT,demand,PT -> ES,mismatch
357,215.8,3389.5,1699.1,599.3,117.2,0.0,1591.1,348.95,7484.0,0.0,476.9499999999998
358,218.4,2381.6,1697.5,343.6,124.5,0.0,1871.4,867.76,6650.0,0.0,854.7600000000002
359,215.7,1367.3,1546.7,325.4,126.7,0.0,1950.1,1170.57,5876.0,0.0,826.4699999999993
360,216.2,851.3,1340.7,369.5,126.6,0.0,2040.9,1174.67,5423.0,0.0,696.8699999999999
361,214.8,861.2,1164.5,227.6,125.2,0.0,2080.6,1128.04,5143.0,0.0,658.9399999999996
362,218.0,836.4,1161.3,226.1,126.0,0.0,2027.3,1388.16,5022.0,0.0,961.2599999999993
363,214.4,846.6,1165.6,229.3,128.2,0.0,1994.5,1411.66,4974.0,0.0,1016.2600000000002
364,213.0,905.8,1203.8,238.8,126.5,0.0,1919.1,1380.5,5056.0,0.0,931.5
365,213.2,1077.5,1368.8,238.7,122.4,0.0,1770.3,408.16,5442.0,0.0,-242.9400000000005
366,211.4,1637.4,1435.9,366.2,121.4,0.0,1604.1,92.6,6194.0,0.0,-725.0
367,215.1,2559.9,1595.7,396.5,119.9,0.2,1448.1,0.0,7078.0,118.94,-861.5400000000004
368,215.6,2937.8,1697.9,613.2,121.2,21.0,1294.6,240.82,7552.0,0.0,-409.880000000001
369,220.0,3078.9,1698.6,619.8,119.3,70.7,1048.7,792.06,7699.0,0.0,-50.94000000000051
370,220.2,3042.7,1697.8,819.4,113.3,135.5,826.6,864.05,7854.0,0.0,-134.44999999999982
371,218.4,3001.5,1698.4,740.8,113.5,168.1,853.8,1077.28,7697.0,0.0,174.78000000000065
372,222.5,2938.5,1686.0,509.8,115.9,175.1,1058.6,1011.75,7591.0,0.0,127.14999999999964
373,216.7,2958.9,1678.8,439.4,111.5,150.8,1085.4,966.76,7710.0,0.0,-101.73999999999978
374,222.7,2544.0,1699.2,668.9,124.2,107.4,1063.4,1297.35,7612.0,0.0,115.14999999999964
375,225.7,2414.7,1697.4,726.7,131.8,77.3,1159.2,1200.16,7525.0,0.0,107.95999999999913
376,222.7,2565.5,1698.4,678.4,134.9,34.3,1333.6,879.6,7596.0,0.0,-48.600000000000364
377,223.3,3072.6,1698.3,645.4,137.3,1.6,1395.2,448.78,8100.0,0.0,-477.52000000000044
378,223.2,3112.1,1698.8,862.9,135.1,0.0,1410.5,684.39,8296.0,0.0,-169.01000000000022
379,222.2,3169.1,1698.1,1096.3,139.7,0.0,1440.3,554.28,8170.0,0.0,149.97999999999956
380,225.1,2914.7,1697.9,1148.5,142.1,0.0,1546.2,518.34,7819.0,0.0,373.84000000000015
381,225.9,2285.0,1698.3,957.9,145.4,0.0,1878.9,647.97,7332.0,0.0,507.3699999999999
382,224.0,1488.6,1697.9,847.3,144.8,0.0,1925.9,1027.34,6480.0,0.0,875.8400000000001
383,222.1,1080.3,1601.3,573.0,138.8,0.0,1949.6,943.69,5753.0,0.0,755.7900000000009
384,220.7,865.1,1540.2,384.6,129.4,0.0,2002.5,733.94,5343.0,0.0,533.4400000000005
385,221.5,807.3,1067.8,239.1,126.1,0.0,2216.3,1287.4,5120.0,0.0,845.5
386,222.5,827.1,860.6,242.3,133.1,0.0,2703.9,1397.58,5003.0,0.0,1384.08
387,217.0,838.1,892.2,251.5,143.0,0.0,2907.0,1392.68,4964.0,0.0,1677.4800000000005
388,216.4,856.3,1044.3,254.3,140.5,0.0,2883.7,1213.89,5050.0,0.0,1559.3900000000003
389,216.2,896.8,1415.0,300.8,139.5,0.0,2686.4,0.0,5411.0,203.08,40.620000000000715
390,213.0,1343.7,1561.1,423.9,137.7,0.0,2484.3,0.0,6106.0,503.23,-445.5299999999993
391,210.7,2547.1,1646.6,386.3,140.3,0.1,2355.1,0.0,6940.0,1012.94,-666.7399999999993
392,217.3,2746.9,1696.8,473.1,144.4,31.7,2212.4,0.0,7338.0,567.19,-382.5899999999997
393,218.8,2978.3,1490.1,650.8,147.3,143.1,2079.7,0.0,7405.0,325.9,-22.799999999998704
394,221.3,3229.9,1381.3,575.2,147.8,268.1,2003.2,0.0,7441.0,167.56,218.24000000000018
395,225.2,3196.0,1384.0,518.4,147.1,332.7,1779.5,352.33,7193.0,0.0,742.2299999999996
396,224.0,3324.2,1384.7,565.9,149.2,347.9,1318.7,323.63,7028.0,0.0,610.2299999999987
397,220.1,3273.6,1384.4,444.9,145.7,341.9,1108.9,657.26,7148.0,0.0,428.7600000000002
398,222.6,3186.6,1382.7,306.1,144.5,315.2,999.7,911.33,7062.0,0.0,406.72999999999956
399,221.7,3076.4,1382.8,309.3,145.1,252.8,999.4,873.39,6981.0,0.0,279.8900000000003
400,224.2,3276.5,1388.5,343.7,142.1,128.5,956.6,599.49,7091.0,0.0,-31.409999999999854
401,222.9,3168.8,1434.3,1189.9,144.4,9.8,1069.2,0.0,7762.0,135.96,-658.6600000000008
402,225.1,3136.3,1460.6,1980.3,145.3,0.0,1276.2,0.0,8052.0,446.39,-274.5899999999989
403,226.0,3256.1,1491.3,2526.7,139.0,0.0,1341.9,0.0,7932.0,919.43,129.57000000000005
404,221.7,3300.7,1688.6,2300.9,139.8,0.0,1337.1,0.0,7607.0,1053.68,328.1199999999992
405,223.3,3239.4,1700.3,972.2,135.6,0.0,1244.8,96.62,7136.0,0.0,476.22000000000025
406,222.4,2610.8,1700.2,825.3,142.5,0.0,1131.9,514.26,6390.0,0.0,757.3600000000006
407,222.1,2161.1,1699.9,518.4,140.5,0.0,1112.0,554.0,5709.0,0.0,699.0
