,biomass,gas,hard_coal,hydro,nuclear,other_fossil,other_renewable,wind_onshore,NO -> FI,SE -> FI,demand,FI -> NO,FI -> SE,mismatch
1650,990.44,895.85,1098.4,2034.6,2790.5,948.52,42.78,561.24,0.0,945.6,11686.39,38.13,0.0,-1416.5899999999992
1651,972.58,886.65,1077.2,1700.4,2789.7,939.43,43.5,557.19,0.0,771.37,11242.39,43.67,0.0,-1548.039999999999
1652,953.17,842.69,1057.8,1440.4,2790.3,899.75,42.43,537.76,0.0,1018.49,11358.17,38.0,0.0,-1813.380000000001
1653,949.53,783.81,1049.4,1366.1,2790.5,885.89,43.4,528.69,0.0,956.03,11208.75,48.01,0.0,-1903.4099999999996
1654,953.62,746.48,1061.2,1336.4,2791.1,866.61,43.4,509.65,0.0,521.57,10795.59,55.79,0.0,-2021.3499999999995
1655,955.18,738.11,1055.7,1337.3,2790.4,860.69,43.4,464.5,0.0,223.7,10504.47,52.3,0.0,-2087.789999999998
1656,952.12,738.36,1052.8,1288.0,2790.7,876.88,43.4,413.03,0.0,133.10000000000002,10287.99,53.7,0.0,-2053.3
1657,950.84,737.98,1050.5,1262.5,2790.9,876.75,43.4,362.37,0.0,100.90000000000003,10135.12,52.18,0.0,-2011.1600000000014
1658,945.81,730.84,1051.8,1286.8,2790.8,879.87,43.4,321.99,0.0,96.8,10132.58,52.24,0.0,-2036.7100000000003
1659,948.64,733.51,1052.6,1278.3,2790.4,876.6,43.4,307.98,0.0,213.1,10189.38,54.39,0.0,-1999.2399999999986
1660,948.4,759.27,1064.3,1301.8,2790.4,868.12,43.4,263.15,0.0,402.7,10303.71,50.96,0.0,-1913.13
1661,945.12,792.26,1062.8,1466.8,2789.8,859.91,43.4,240.13,0.0,322.40000000000003,10150.72,54.3,0.0,-1682.4000000000003
1662,939.57,815.67,1064.1,1501.1,2790.2,878.5,43.4,226.66,0.0,540.7,10380.31,44.46,0.0,-1624.869999999998
1663,939.89,814.58,1070.7,1683.2,2790.9,899.0,43.4,198.43,0.0,622.45,10575.25,42.81,0.0,-1555.5099999999989
1664,941.69,814.35,1070.5,1710.1,2790.4,875.69,43.4,208.17,0.0,809.76,10715.48,39.86,0.0,-1491.28
1665,936.96,810.8,1053.9,1712.2,2790.5,857.63,43.4,218.26,0.0,921.58,10801.09,35.73,0.0,-1491.5900000000006
1666,927.99,812.59,1030.4,1780.1,2790.3,875.14,40.36,233.34,0.0,851.27,10819.61,32.44,0.0,-1510.559999999999
1667,914.58,811.01,1021.6,1747.8,2790.8,863.67,42.9,230.94,0.0,817.38,10713.66,34.18,0.0,-1507.1599999999996
1668,927.66,821.03,1017.5,1752.5,2790.5,861.63,39.71,244.49,0.0,672.93,10657.3,37.43,0.0,-1566.7799999999986
1669,931.45,795.35,1018.4,1706.1,2790.5,862.23,41.1,257.54,0.0,719.44,10684.55,44.48,0.0,-1606.919999999997
1670,935.53,811.03,1010.5,1690.8,2790.5,869.67,39.39,310.33,0.0,670.18,10725.32,43.52,0.0,-1640.9099999999994
1671,945.98,815.64,999.69,1695.8,2790.7,876.18,40.19,335.87,0.0,700.26,10823.48,38.23,0.0,-1661.4
1672,955.53,835.77,1000.6,1777.8,2791.0,887.88,38.1,344.46,0.0,1063.51,11297.51,30.84,0.0,-1633.7000000000005
1673,964.12,828.84,1070.5,1777.0,2790.6,967.54,38.1,345.37,0.0,1206.81,11624.86,30.8,0.0,-1666.7800000000013
1674,964.69,815.56,1070.0,1814.2,2791.2,967.41,38.1,283.84,0.0,965.07,11400.14,33.83,0.0,-1723.8999999999996
1675,954.0,821.72,1070.2,1729.7,2790.5,946.62,38.1,261.15,0.0,718.6,10978.32,43.2,0.0,-1690.9299999999996
1676,959.65,816.54,1066.4,1636.8,2790.9,946.8,38.1,266.57,0.0,1226.4,11251.05,38.19,0.0,-1541.0799999999995
1677,949.45,791.29,1027.6,1504.5,2790.2,906.38,38.1,261.17,0.0,1101.75,11148.9,50.05,0.0,-1828.509999999999
1678,939.07,780.18,1000.1,1399.5,2789.9,858.09,38.1,253.01,0.0,460.38,10782.58,53.89,0.0,-2318.14
1679,928.81,764.35,995.87,1332.1,2791.1,846.39,38.1,232.76,0.0,567.35,10511.32,48.27,0.0,-2062.7599999999998
1680,912.39,777.96,996.62,1259.5,2790.1,853.02,38.1,210.57,0.0,483.61,10297.17,47.83,0.0,-2023.1299999999992
1681,920.14,807.4,997.15,1270.1,2790.5,853.77,38.1,242.0,0.0,445.52,10290.96,49.7,0.0,-1975.9799999999989
1682,931.52,805.75,1001.4,1362.4,2790.7,852.22,38.1,242.53,0.0,749.0999999999999,10445.46,42.44,0.0,-1714.1799999999998
1683,929.27,805.57,1033.9,1440.4,2791.2,860.89,38.1,245.96,0.0,1035.24,10822.59,36.17,0.0,-1678.2299999999996
1684,952.43,859.27,1150.7,1604.2,2791.4,950.45,38.1,283.22,0.0,2067.51,11539.62,19.52,0.0,-861.8600000000001
1685,996.92,871.42,1306.7,1948.2,2791.2,1100.12,38.1,284.39,0.0,2165.0,11883.78,19.28,0.0,-401.01000000000136
1686,1007.1,877.01,1349.9,2287.4,2791.3,1143.14,38.47,290.63,0.0,2010.72,12100.98,19.87,0.0,-325.18000000000313
1687,1013.4,877.21,1353.4,2365.0,2793.7,1135.54,39.2,243.36,0.0,1975.94,12144.01,19.6,0.0,-366.8599999999984
1688,1019.3,876.96,1351.3,2345.8,2792.4,1122.37,39.2,215.11,3.19,1985.86,12099.11,0.0,0.0,-347.619999999999
1689,1020.5,881.4,1347.1,2344.2,2793.4,1111.67,39.2,225.85,45.8,2142.7,12045.7,0.0,0.0,-93.8799999999992
1690,1019.0,878.77,1319.8,2259.1,2791.3,1104.4,39.2,253.53,57.27,2368.6,11958.49,0.0,0.0,132.48000000000138
1691,985.13,879.26,1313.7,2180.8,2790.5,1093.68,39.2,225.04,59.47,2434.3,11835.09,0.0,0.0,165.9900000000016
1692,981.57,877.96,1295.1,2179.6,2790.4,1102.21,35.1,236.43,66.64,2428.9,11820.61,0.0,0.0,173.29999999999927
1693,998.89,893.18,1284.4,2215.7,2790.6,1113.48,40.56,315.64,63.58,2259.24,11819.57,0.0,0.0,155.6999999999989
1694,1012.2,889.12,1255.5,2380.7,2790.9,1124.52,40.5,411.01,59.72,1806.29,11605.19,0.0,0.0,165.27000000000044
1695,1025.0,892.2,1253.5,2056.5,2791.2,1140.7,40.5,441.42,58.15,2159.71,11721.2,0.0,0.0,137.6800000000003
1696,1023.2,882.02,1277.1,2158.0,2791.6,1127.24,40.5,453.48,64.68,2203.37,11988.95,0.0,0.0,32.23999999999796
1697,1024.4,893.88,1288.1,2370.9,2791.7,1124.7,40.5,414.71,69.13,1821.37,12191.32,0.0,0.0,-351.9300000000003
1698,1016.7,905.22,1292.6,2353.5,2791.4,1129.78,40.5,417.42,64.53,1499.1,11975.3,0.0,0.0,-464.5499999999993
1699,987.06,885.61,1276.6,2019.9,2791.0,1122.01,40.5,423.3,43.91,1075.89,11470.32,0.0,0.0,-804.5400000000009
1700,937.84,871.75,1190.8,1797.3,2791.7,1049.13,38.69,346.76,48.7,1616.21,11596.9,0.0,0.0,-908.0199999999986
1701,897.86,861.08,1108.1,1610.1,2791.5,975.26,39.3,292.18,46.72,1271.14,11335.36,0.0,0.0,-1442.1200000000008
1702,888.86,860.93,999.33,1406.9,2791.9,910.16,39.3,304.11,43.03,961.09,10823.3,0.0,0.0,-1617.6899999999987
1703,852.39,859.2,964.58,1239.6,2791.5,895.66,39.3,310.24,45.01,853.03,10540.47,0.0,0.0,-1689.9599999999991
1704,849.59,874.07,974.26,1195.7,2791.9,890.15,39.3,293.81,45.41,572.7,10290.84,0.0,0.0,-1763.949999999999
1705,844.08,860.75,980.18,1202.6,2791.7,867.42,39.3,296.88,36.52,491.99,10189.27,0.0,0.0,-1777.8500000000004
1706,832.99,857.75,981.85,1163.7,2792.6,871.86,39.3,276.73,36.13,645.72,10257.93,0.0,0.0,-1759.300000000001
1707,836.22,863.37,982.75,1231.0,2792.3,886.46,39.3,277.74,40.54,1401.63,10667.59,0.0,0.0,-1316.2799999999988
